x0000,y0000
120.,0.
309.04,13125.
309.06,13200.
309.08,13192.
309.1,13201.
309.12,13255.
309.14,13219.
309.16,13232.
309.18,13281.
309.2,13288.
309.22,13278.
309.24,13300.
309.26,13264.
309.28,13371.
309.3,13376.
309.32,13342.
309.34,13370.
309.36,13342.
309.38,13396.
309.4,13434.
309.42,13404.
309.44,13405.
309.46,13428.
309.48,13420.
309.5,13445.
309.52,13476.
309.54,13436.
309.56,13405.
309.58,13458.
309.6,13466.
309.62,13490.
309.64,13494.
309.66,13465.
309.68,13532.
309.7,13513.
309.72,13558.
309.74,13536.
309.76,13520.
309.78,13586.
309.79,13584.
309.81,13577.
309.83,13581.
309.85,13582.
309.87,13619.
309.89,13589.
309.91,13622.
309.93,13629.
309.95,13609.
309.97,13615.
309.99,13645.
310.01,13628.
310.03,13657.
310.05,13680.
310.07,13622.
310.09,13635.
310.11,13679.
310.13,13667.
310.15,13708.
310.17,13642.
310.19,13690.
310.21,13664.
310.23,13746.
310.25,13695.
310.27,13717.
310.29,13696.
310.31,13697.
310.33,13744.
310.35,13732.
310.37,13770.
310.39,13708.
310.41,13748.
310.43,13737.
310.45,13745.
310.47,13784.
310.49,13721.
310.51,13756.
310.53,13737.
310.55,13761.
310.57,13780.
310.59,13732.
310.61,13716.
310.63,13766.
310.65,13739.
310.67,13781.
310.69,13737.
310.71,13748.
310.73,13742.
310.75,13724.
310.77,13796.
310.79,13727.
310.81,13733.
310.82,13762.
310.84,13756.
310.86,13782.
310.88,13763.
310.9,13705.
310.92,13756.
310.94,13757.
310.96,13750.
310.98,13707.
311.,13746.
311.02,13706.
311.04,13752.
311.06,13759.
311.08,13709.
311.1,13750.
311.12,13760.
311.14,13742.
311.16,13755.
311.18,13790.
311.2,13746.
311.22,13773.
311.24,13782.
311.26,13746.
311.28,13794.
311.3,13784.
311.32,13741.
311.34,13772.
311.36,13722.
311.38,13729.
311.4,13768.
311.42,13724.
311.44,13699.
311.46,13716.
311.48,13774.
311.5,13759.
311.52,13711.
311.54,13721.
311.56,13748.
311.58,13719.
311.6,13762.
311.62,13741.
311.64,13725.
311.66,13712.
311.68,13754.
311.7,13772.
311.72,13788.
311.74,13726.
311.76,13710.
311.78,13745.
311.8,13775.
311.82,13729.
311.84,13671.
311.85,13739.
311.87,13702.
311.89,13704.
311.91,13725.
311.93,13694.
311.95,13698.
311.97,13677.
311.99,13708.
312.01,13741.
312.03,13684.
312.05,13722.
312.07,13704.
312.09,13685.
312.11,13730.
312.13,13754.
312.15,13723.
312.17,13731.
312.19,13756.
312.21,13740.
312.23,13744.
312.25,13763.
312.27,13691.
312.29,13664.
312.31,13730.
312.33,13710.
312.35,13651.
312.37,13690.
312.39,13643.
312.41,13662.
312.43,13704.
312.45,13707.
312.47,13636.
312.49,13678.
312.51,13688.
312.53,13710.
312.55,13694.
312.57,13664.
312.59,13676.
312.61,13664.
312.63,13731.
312.65,13702.
312.67,13680.
312.69,13697.
312.71,13688.
312.73,13704.
312.75,13704.
312.77,13653.
312.79,13690.
312.81,13633.
312.83,13704.
312.85,13644.
312.87,13665.
312.88,13672.
312.9,13643.
312.92,13698.
312.94,13683.
312.96,13675.
312.98,13675.
313.,13622.
313.02,13681.
313.04,13659.
313.06,13693.
313.08,13684.
313.1,13634.
313.12,13696.
313.14,13661.
313.16,13709.
313.18,13654.
313.2,13672.
313.22,13616.
313.24,13670.
313.26,13611.
313.28,13632.
313.3,13642.
313.32,13590.
313.34,13609.
313.36,13579.
313.38,13632.
313.4,13603.
313.42,13590.
313.44,13600.
313.46,13583.
313.48,13631.
313.5,13572.
313.52,13582.
313.54,13561.
313.56,13637.
313.58,13632.
313.6,13598.
313.62,13624.
313.64,13586.
313.66,13659.
313.68,13604.
313.7,13635.
313.72,13588.
313.74,13571.
313.76,13533.
313.78,13599.
313.8,13546.
313.82,13542.
313.84,13513.
313.86,13521.
313.88,13564.
313.9,13513.
313.91,13590.
313.93,13515.
313.95,13546.
313.97,13515.
313.99,13576.
314.01,13548.
314.03,13563.
314.05,13535.
314.07,13544.
314.09,13510.
314.11,13575.
314.13,13518.
314.15,13552.
314.17,13492.
314.19,13525.
314.21,13522.
314.23,13476.
314.25,13490.
314.27,13416.
314.29,13463.
314.31,13432.
314.33,13479.
314.35,13419.
314.37,13478.
314.39,13457.
314.41,13434.
314.43,13482.
314.45,13444.
314.47,13440.
314.49,13430.
314.51,13456.
314.53,13491.
314.55,13443.
314.57,13466.
314.59,13440.
314.61,13488.
314.63,13460.
314.65,13494.
314.67,13442.
314.69,13458.
314.71,13406.
314.73,13430.
314.75,13413.
314.77,13413.
314.79,13393.
314.81,13384.
314.83,13443.
314.85,13377.
314.87,13417.
314.89,13376.
314.91,13412.
314.92,13394.
314.94,13467.
314.96,13426.
314.98,13431.
315.,13400.
315.02,13469.
315.04,13424.
315.06,13493.
315.08,13426.
315.1,13469.
315.12,13413.
315.14,13468.
315.16,13448.
315.18,13457.
315.2,13371.
315.22,13424.
315.24,13392.
315.26,13426.
315.28,13426.
315.3,13408.
315.32,13408.
315.34,13415.
315.36,13379.
315.38,13436.
315.4,13417.
315.42,13385.
315.44,13417.
315.46,13397.
315.48,13445.
315.5,13386.
315.52,13441.
315.54,13400.
315.56,13470.
315.58,13475.
315.6,13472.
315.62,13442.
315.64,13461.
315.66,13445.
315.68,13492.
315.7,13442.
315.72,13436.
315.74,13382.
315.76,13430.
315.78,13446.
315.8,13422.
315.82,13446.
315.84,13376.
315.86,13435.
315.88,13380.
315.9,13476.
315.92,13420.
315.94,13446.
315.95,13403.
315.97,13441.
315.99,13451.
316.01,13441.
316.03,13470.
316.05,13415.
316.07,13478.
316.09,13442.
316.11,13484.
316.13,13452.
316.15,13463.
316.17,13430.
316.19,13489.
316.21,13412.
316.23,13468.
316.25,13394.
316.27,13434.
316.29,13415.
316.31,13437.
316.33,13414.
316.35,13421.
316.37,13419.
316.39,13431.
316.41,13399.
316.43,13454.
316.45,13412.
316.47,13447.
316.49,13407.
316.51,13484.
316.53,13428.
316.55,13456.
316.57,13398.
316.59,13456.
316.61,13474.
316.63,13444.
316.65,13463.
316.67,13413.
316.69,13418.
316.71,13396.
316.73,13425.
316.75,13408.
316.77,13389.
316.79,13355.
316.81,13386.
316.83,13367.
316.85,13360.
316.87,13412.
316.89,13370.
316.91,13378.
316.93,13355.
316.95,13422.
316.97,13371.
316.98,13413.
317.,13360.
317.02,13408.
317.04,13382.
317.06,13426.
317.08,13403.
317.1,13382.
317.12,13397.
317.14,13347.
317.16,13415.
317.18,13346.
317.2,13341.
317.22,13335.
317.24,13296.
317.26,13359.
317.28,13340.
317.3,13249.
317.32,13328.
317.34,13303.
317.36,13340.
317.38,13327.
317.4,13306.
317.42,13347.
317.44,13321.
317.46,13332.
317.48,13395.
317.5,13334.
317.52,13367.
317.54,13357.
317.56,13370.
317.58,13408.
317.6,13354.
317.62,13355.
317.64,13291.
317.66,13334.
317.68,13338.
317.7,13300.
317.72,13288.
317.74,13262.
317.76,13260.
317.78,13270.
317.8,13331.
317.82,13254.
317.84,13314.
317.86,13292.
317.88,13281.
317.9,13312.
317.92,13284.
317.94,13301.
317.96,13282.
317.98,13337.
317.99,13302.
318.01,13348.
318.03,13315.
318.05,13287.
318.07,13336.
318.09,13313.
318.11,13317.
318.13,13299.
318.15,13211.
318.17,13275.
318.19,13242.
318.21,13283.
318.23,13236.
318.25,13222.
318.27,13240.
318.29,13222.
318.31,13294.
318.33,13231.
318.35,13264.
318.37,13215.
318.39,13286.
318.41,13249.
318.43,13315.
318.45,13255.
318.47,13255.
318.49,13249.
318.51,13279.
318.53,13304.
318.55,13326.
318.57,13272.
318.59,13270.
318.61,13269.
318.63,13268.
318.65,13227.
318.67,13242.
318.69,13179.
318.71,13224.
318.73,13180.
318.75,13193.
318.77,13170.
318.79,13206.
318.81,13190.
318.83,13210.
318.85,13225.
318.87,13189.
318.89,13206.
318.91,13192.
318.93,13254.
318.95,13211.
318.97,13252.
318.99,13194.
319.01,13258.
319.02,13225.
319.04,13282.
319.06,13246.
319.08,13289.
319.1,13250.
319.12,13254.
319.14,13304.
319.16,13206.
319.18,13229.
319.2,13218.
319.22,13178.
319.24,13233.
319.26,13197.
319.28,13171.
319.3,13179.
319.32,13160.
319.34,13203.
319.36,13206.
319.38,13162.
319.4,13213.
319.42,13158.
319.44,13206.
319.46,13195.
319.48,13243.
319.5,13191.
319.52,13249.
319.54,13212.
319.56,13264.
319.58,13230.
319.6,13285.
319.62,13230.
319.64,13250.
319.66,13226.
319.68,13261.
319.7,13203.
319.72,13192.
319.74,13141.
319.76,13164.
319.78,13146.
319.8,13172.
319.82,13148.
319.84,13121.
319.86,13154.
319.88,13131.
319.9,13180.
319.92,13149.
319.94,13190.
319.96,13125.
319.98,13186.
320.,13140.
320.02,13192.
320.04,13168.
320.05,13201.
320.07,13152.
320.09,13231.
320.11,13161.
320.13,13185.
320.15,13139.
320.17,13210.
320.19,13155.
320.21,13138.
320.23,13137.
320.25,13077.
320.27,13120.
320.29,13054.
320.31,13131.
320.33,13064.
320.35,13071.
320.37,13060.
320.39,13110.
320.41,13084.
320.43,13144.
320.45,13065.
320.47,13110.
320.49,13101.
320.51,13124.
320.53,13129.
320.55,13110.
320.57,13134.
320.59,13102.
320.61,13158.
320.63,13129.
320.65,13172.
320.67,13119.
320.69,13104.
320.71,13122.
320.73,13093.
320.75,13116.
320.77,13048.
320.79,13054.
320.81,13033.
320.83,13024.
320.85,13066.
320.87,13027.
320.89,13077.
320.91,13014.
320.93,13072.
320.95,13035.
320.97,13055.
320.99,13075.
321.01,13054.
321.03,13108.
321.05,13050.
321.07,13098.
321.08,13055.
321.1,13096.
321.12,13111.
321.14,13097.
321.16,13118.
321.18,13076.
321.2,13110.
321.22,13068.
321.24,13113.
321.26,13054.
321.28,13053.
321.3,13004.
321.32,13029.
321.34,13022.
321.36,13022.
321.38,13016.
321.4,12972.
321.42,13005.
321.44,12999.
321.46,13040.
321.48,12968.
321.5,13015.
321.52,13041.
321.54,13039.
321.56,13030.
321.58,13030.
321.6,13089.
321.62,13031.
321.64,13058.
321.66,13069.
321.68,13101.
321.7,13086.
321.72,13070.
321.74,13122.
321.76,13088.
321.78,13122.
321.8,13064.
321.82,13073.
321.84,13033.
321.86,13044.
321.88,13024.
321.9,13001.
321.92,13014.
321.94,12963.
321.96,13011.
321.98,12978.
322.,12986.
322.02,13026.
322.04,12984.
322.06,12994.
322.08,13036.
322.09,12995.
322.11,13031.
322.13,13040.
322.15,12994.
322.17,13057.
322.19,13050.
322.21,13032.
322.23,13077.
322.25,13039.
322.27,13053.
322.29,13097.
322.31,13079.
322.33,13068.
322.35,13086.
322.37,13054.
322.39,13030.
322.41,13049.
322.43,13032.
322.45,12991.
322.47,12982.
322.49,13018.
322.51,12951.
322.53,13033.
322.55,13009.
322.57,12975.
322.59,13038.
322.61,12992.
322.63,13023.
322.65,13045.
322.67,12985.
322.69,13030.
322.71,13028.
322.73,13004.
322.75,13056.
322.77,13012.
322.79,13061.
322.81,13032.
322.83,13080.
322.85,13020.
322.87,13075.
322.89,13053.
322.91,13038.
322.93,13020.
322.95,12974.
322.97,12992.
322.99,12940.
323.01,12977.
323.03,12946.
323.05,12923.
323.07,12962.
323.09,12941.
323.11,12920.
323.12,12959.
323.14,12937.
323.16,12947.
323.18,12976.
323.2,12916.
323.22,12969.
323.24,12941.
323.26,12998.
323.28,12958.
323.3,12993.
323.32,12979.
323.34,12998.
323.36,13033.
323.38,12979.
323.4,13040.
323.42,12977.
323.44,13012.
323.46,13004.
323.48,12934.
323.5,12957.
323.52,12905.
323.54,12948.
323.56,12886.
323.58,12941.
323.6,12883.
323.62,12919.
323.64,12885.
323.66,12873.
323.68,12944.
323.7,12910.
323.72,12934.
323.74,12904.
323.76,12939.
323.78,12926.
323.8,12960.
323.82,12911.
323.84,12969.
323.86,12938.
323.88,12978.
323.9,12999.
323.92,12956.
323.94,12978.
323.96,12947.
323.98,12947.
324.,12947.
324.02,12913.
324.04,12910.
324.06,12892.
324.08,12902.
324.1,12885.
324.12,12891.
324.14,12860.
324.15,12902.
324.17,12889.
324.19,12916.
324.21,12886.
324.23,12914.
324.25,12901.
324.27,12944.
324.29,12892.
324.31,12948.
324.33,12910.
324.35,12906.
324.37,12943.
324.39,12955.
324.41,13003.
324.43,12946.
324.45,12982.
324.47,12910.
324.49,12991.
324.51,12941.
324.53,12944.
324.55,12920.
324.57,12875.
324.59,12895.
324.61,12852.
324.63,12904.
324.65,12851.
324.67,12886.
324.69,12826.
324.71,12879.
324.73,12873.
324.75,12901.
324.77,12848.
324.79,12879.
324.81,12862.
324.83,12907.
324.85,12880.
324.87,12910.
324.89,12883.
324.91,12946.
324.93,12932.
324.95,12947.
324.97,12896.
324.99,12944.
325.01,12966.
325.03,12959.
325.05,12962.
325.07,12918.
325.09,12942.
325.11,12918.
325.13,12920.
325.15,12926.
325.16,12848.
325.18,12878.
325.2,12825.
325.22,12901.
325.24,12840.
325.26,12883.
325.28,12829.
325.3,12889.
325.32,12847.
325.34,12899.
325.36,12906.
325.38,12884.
325.4,12914.
325.42,12891.
325.44,12943.
325.46,12936.
325.48,12931.
325.5,12904.
325.52,12938.
325.54,12921.
325.56,13002.
325.58,12974.
325.6,12976.
325.62,12924.
325.64,12917.
325.66,12911.
325.68,12928.
325.7,12867.
325.72,12908.
325.74,12844.
325.76,12898.
325.78,12864.
325.8,12898.
325.82,12852.
325.84,12893.
325.86,12851.
325.88,12884.
325.9,12883.
325.92,12938.
325.94,12894.
325.96,12889.
325.98,12948.
326.,12910.
326.02,12924.
326.04,12929.
326.06,12897.
326.08,12962.
326.1,12958.
326.12,12958.
326.14,12940.
326.16,12918.
326.18,12951.
326.19,12920.
326.21,12904.
326.23,12886.
326.25,12828.
326.27,12868.
326.29,12850.
326.31,12860.
326.33,12846.
326.35,12830.
326.37,12827.
326.39,12854.
326.41,12895.
326.43,12840.
326.45,12872.
326.47,12847.
326.49,12905.
326.51,12880.
326.53,12921.
326.55,12880.
326.57,12884.
326.59,12886.
326.61,12897.
326.63,12930.
326.65,12942.
326.67,12916.
326.69,12902.
326.71,12928.
326.73,12883.
326.75,12919.
326.77,12826.
326.79,12843.
326.81,12823.
326.83,12828.
326.85,12836.
326.87,12792.
326.89,12845.
326.91,12812.
326.93,12861.
326.95,12811.
326.97,12862.
326.99,12804.
327.01,12890.
327.03,12830.
327.05,12874.
327.07,12884.
327.09,12834.
327.11,12912.
327.13,12870.
327.15,12902.
327.17,12893.
327.19,12872.
327.21,12948.
327.22,12896.
327.24,12960.
327.26,12918.
327.28,12908.
327.3,12862.
327.32,12894.
327.34,12859.
327.36,12889.
327.38,12839.
327.4,12827.
327.42,12824.
327.44,12846.
327.46,12842.
327.48,12824.
327.5,12845.
327.52,12818.
327.54,12881.
327.56,12841.
327.58,12874.
327.6,12832.
327.62,12868.
327.64,12866.
327.66,12916.
327.68,12878.
327.7,12901.
327.72,12855.
327.74,12906.
327.76,12900.
327.78,12947.
