x0000,y0000
212.44,14118.
212.46,14170.
212.48,14204.
212.5,14234.
212.52,14224.
212.54,14213.
212.56,14217.
212.58,14261.
212.6,14300.
212.62,14307.
212.64,14278.
212.66,14274.
212.68,14317.
212.7,14348.
212.72,14323.
212.74,14216.
212.76,14159.
212.78,14140.
212.79,14135.
212.81,14092.
212.83,14060.
212.85,14037.
212.87,14031.
212.89,14046.
212.91,14062.
212.93,14045.
212.95,14030.
212.97,14018.
212.99,14050.
213.01,14050.
213.03,14054.
213.05,14036.
213.07,14029.
213.09,14068.
213.11,14088.
213.13,14090.
213.15,14064.
213.17,14033.
213.19,14049.
213.21,14092.
213.23,14124.
213.25,14137.
213.27,14097.
213.29,14088.
213.31,14134.
213.33,14167.
213.35,14175.
213.37,14121.
213.39,14025.
213.41,13978.
213.43,13937.
213.45,13892.
213.47,13830.
213.49,13752.
213.51,13729.
213.53,13726.
213.55,13734.
213.57,13710.
213.59,13654.
213.61,13660.
213.63,13680.
213.65,13676.
213.67,13682.
213.69,13665.
213.71,13636.
213.73,13638.
213.75,13649.
213.77,13646.
213.78,13612.
213.8,13576.
213.82,13611.
213.84,13645.
213.86,13697.
213.88,13680.
213.9,13639.
213.92,13625.
213.94,13660.
213.96,13687.
213.98,13707.
214.,13685.
214.02,13689.
214.04,13711.
214.06,13718.
214.08,13736.
214.1,13725.
214.12,13686.
214.14,13666.
214.16,13692.
214.18,13632.
214.2,13473.
214.22,13354.
214.24,13298.
214.26,13316.
214.28,13333.
214.3,13311.
214.32,13272.
214.34,13260.
214.36,13301.
214.38,13322.
214.4,13351.
214.42,13313.
214.44,13272.
214.46,13273.
214.48,13299.
214.5,13319.
214.52,13310.
214.54,13258.
214.56,13288.
214.58,13327.
214.6,13377.
214.62,13351.
214.64,13300.
214.66,13313.
214.68,13367.
214.7,13432.
214.72,13433.
214.74,13396.
214.76,13354.
214.77,13397.
214.79,13440.
214.81,13472.
214.83,13458.
214.85,13443.
214.87,13431.
214.89,13541.
214.91,13576.
214.93,13579.
214.95,13542.
214.97,13506.
214.99,13566.
215.01,13616.
215.03,13615.
215.05,13583.
215.07,13538.
215.09,13524.
215.11,13510.
215.13,13475.
215.15,13411.
215.17,13321.
215.19,13284.
215.21,13336.
215.23,13354.
215.25,13342.
215.27,13298.
215.29,13274.
215.31,13318.
215.33,13338.
215.35,13382.
215.37,13344.
215.39,13307.
215.41,13360.
215.43,13392.
215.45,13388.
215.47,13361.
215.49,13315.
215.51,13331.
215.53,13384.
