x0000,y0000
12825.,0.
8.25,12800.
8.27,12848.
8.29,12887.
8.31,12876.
8.33,12855.
8.35,12807.
8.37,12822.
8.39,12868.
8.41,12876.
8.43,12832.
8.45,12781.
8.47,12785.
8.49,12856.
8.51,12888.
8.53,12877.
8.55,12855.
8.57,12824.
8.59,12905.
8.61,12956.
8.63,12958.
8.65,12938.
8.67,12919.
8.69,12958.
8.71,13005.
8.73,13038.
8.75,13007.
8.77,12971.
8.79,12965.
8.81,13032.
8.83,13061.
8.85,13064.
8.87,13016.
8.89,13004.
8.91,13052.
8.93,13056.
8.95,12987.
8.97,12893.
8.99,12784.
9.01,12748.
9.02,12776.
9.04,12750.
9.06,12724.
9.08,12671.
9.1,12635.
9.12,12749.
9.14,12762.
9.16,12743.
9.18,12678.
9.2,12676.
9.22,12757.
9.24,12794.
9.26,12788.
9.28,12739.
9.3,12680.
9.32,12720.
9.34,12771.
9.36,12797.
9.38,12778.
9.4,12695.
9.42,12725.
9.44,12782.
9.46,12794.
9.48,12805.
9.5,12775.
9.52,12796.
9.54,12859.
9.56,12908.
9.58,12896.
9.6,12869.
9.62,12810.
9.64,12862.
9.66,12903.
9.68,12952.
9.7,12924.
9.72,12893.
9.74,12898.
9.76,12974.
9.78,12953.
9.8,12901.
9.82,12798.
9.84,12754.
9.86,12774.
9.88,12752.
9.9,12724.
9.92,12641.
9.94,12611.
9.96,12626.
9.98,12652.
10.,12660.
10.02,12616.
10.03,12587.
10.05,12636.
10.07,12693.
10.09,12712.
10.11,12696.
10.13,12659.
10.15,12657.
10.17,12694.
10.19,12716.
10.21,12714.
10.23,12672.
10.25,12652.
10.27,12691.
10.29,12739.
10.31,12746.
10.33,12723.
10.35,12687.
10.37,12733.
10.39,12814.
10.41,12836.
10.43,12790.
10.45,12742.
10.47,12729.
10.49,12796.
10.51,12830.
10.53,12851.
10.55,12823.
10.57,12801.
10.59,12830.
10.61,12878.
10.63,12868.
10.65,12832.
10.67,12809.
10.69,12868.
10.71,12886.
10.73,12862.
10.75,12762.
10.77,12650.
10.79,12604.
10.81,12616.
10.83,12626.
10.85,12564.
10.87,12526.
10.89,12506.
10.91,12543.
10.93,12605.
10.95,12612.
10.97,12555.
10.99,12542.
11.01,12569.
11.02,12599.
11.04,12618.
11.06,12598.
11.08,12583.
11.1,12586.
11.12,12635.
11.14,12658.
11.16,12656.
11.18,12590.
11.2,12582.
11.22,12618.
11.24,12682.
11.26,12681.
11.28,12665.
11.3,12648.
11.32,12694.
11.34,12732.
11.36,12726.
11.38,12722.
11.4,12672.
11.42,12680.
11.44,12740.
11.46,12781.
11.48,12811.
11.5,12756.
11.52,12746.
11.54,12816.
11.56,12835.
11.58,12804.
11.6,12771.
11.62,12758.
11.64,12779.
11.66,12830.
11.68,12797.
11.7,12711.
11.72,12602.
11.74,12588.
11.76,12598.
11.78,12592.
11.8,12570.
11.82,12504.
11.84,12499.
11.86,12561.
11.88,12571.
11.9,12557.
11.92,12502.
11.94,12505.
11.96,12562.
11.98,12619.
12.,12622.
12.02,12563.
12.03,12554.
12.05,12564.
12.07,12627.
12.09,12671.
12.11,12642.
12.13,12600.
12.15,12604.
12.17,12695.
12.19,12720.
12.21,12712.
12.23,12671.
12.25,12639.
12.27,12709.
12.29,12768.
12.31,12768.
12.33,12762.
12.35,12718.
12.37,12772.
12.39,12809.
12.41,12809.
12.43,12783.
12.45,12748.
12.47,12778.
12.49,12829.
12.51,12832.
12.53,12809.
12.55,12779.
12.57,12764.
12.59,12860.
12.61,12892.
12.63,12874.
12.65,12780.
12.67,12697.
12.69,12676.
12.71,12663.
12.73,12626.
12.75,12584.
12.77,12538.
12.79,12567.
12.81,12618.
12.83,12628.
12.85,12605.
12.87,12534.
12.89,12530.
12.91,12602.
12.93,12650.
12.95,12653.
12.97,12618.
12.99,12593.
13.01,12644.
13.02,12692.
13.04,12712.
13.06,12687.
13.08,12610.
13.1,12617.
13.12,12682.
13.14,12716.
13.16,12714.
13.18,12683.
13.2,12668.
13.22,12747.
13.24,12791.
13.26,12773.
13.28,12755.
13.3,12742.
13.32,12784.
13.34,12804.
13.36,12803.
13.38,12801.
13.4,12760.
13.42,12780.
13.44,12841.
13.46,12868.
13.48,12878.
13.5,12817.
13.52,12836.
13.54,12913.
13.56,12947.
13.58,12936.
13.6,12845.
13.62,12843.
13.64,12848.
13.66,12842.
13.68,12803.
13.7,12726.
13.72,12663.
13.74,12662.
13.76,12693.
13.78,12650.
13.8,12647.
13.82,12591.
13.84,12585.
13.86,12644.
13.88,12684.
13.9,12670.
13.92,12667.
13.94,12648.
13.96,12714.
13.98,12699.
14.,12702.
14.02,12670.
14.03,12630.
14.05,12673.
14.07,12726.
14.09,12748.
14.11,12723.
14.13,12668.
14.15,12694.
14.17,12774.
14.19,12807.
14.21,12803.
14.23,12780.
14.25,12777.
14.27,12819.
14.29,12854.
14.31,12846.
14.33,12820.
14.35,12775.
14.37,12819.
14.39,12904.
14.41,12923.
14.43,12911.
14.45,12866.
