x0000,y0000
0.016655563,182.2667554647
0.0333111259,230.3107171581
0.0499666889,130.3499960689
0.0666222518,73.3544191657
0.0832778148,54.0734327071
0.0999333777,54.9885674262
0.1165889407,53.533672983
0.1332445037,44.4638766767
0.1499000666,38.9683963652
0.1665556296,38.7867334266
0.1832111925,32.773334186
0.1998667555,29.6296311478
0.2165223185,28.4557687421
0.2331778814,23.81334463
0.2498334444,20.1316636879
0.2664890073,24.4038058779
0.2831445703,18.8734784757
0.2998001332,31.9184901081
0.3164556962,19.2501841653
0.3331112592,19.0873630796
0.3497668221,17.5939072295
0.3664223851,15.4271315837
0.3830779480,14.9398992513
0.399733511,13.6291961783
0.416389074,11.0720126040
0.4330446369,11.3342545658
0.4497001999,11.0124293758
0.4663557628,12.4100511346
0.4830113258,10.0118750710
0.4996668887,11.6951557081
0.5163224517,14.1831388326
0.5329780147,11.5837163149
0.5496335776,9.7513093919
0.5662891406,14.8069514158
0.5829447035,8.1635388215
0.5996002665,13.1314307082
0.6162558294,12.4615280347
0.6329113924,7.7924046877
0.6495669554,10.0049501104
0.6662225183,10.2095058964
0.6828780813,9.6341742726
0.6995336442,11.2346139615
0.7161892072,10.7355014304
0.7328447702,8.5916237843
0.7495003331,10.3105906127
0.7661558961,8.815659754
0.7828114590,7.8787955327
0.799467022,11.0474495719
0.8161225849,7.6637886914
0.8327781479,10.4737825647
0.8494337109,9.6721768249
0.8660892738,10.4391905091
0.8827448368,9.7713685483
0.8994003997,10.791298337
0.9160559627,9.5901034616
0.9327115257,9.6938441519
0.9493670886,10.5834886989
0.9660226516,9.4026788454
0.9826782145,10.6994265922
0.9993337775,9.3049290633
1.0159893404,9.3073609008
1.0326449034,9.7080658301
1.0493004664,10.2580019612
1.0659560293,10.4625549943
1.0826115923,9.3804180554
1.0992671552,11.1983518459
1.1159227182,9.9311399340
1.1325782811,10.5740082130
1.1492338441,10.0716235117
1.1658894071,8.0491798564
1.1825449700,10.3942716129
1.199200533,10.5216320214
1.2158560959,9.2312000697
1.2325116589,11.154794233
1.2491672219,9.9536023374
1.2658227848,9.2826529732
1.2824783478,10.4171824334
1.2991339107,7.9257612153
1.3157894737,9.8566839525
1.3324450366,11.4577822405
1.3491005996,8.2251637615
1.3657561626,10.9771114155
1.3824117255,9.2333734844
1.3990672885,11.2128800608
1.4157228514,10.221966751
1.4323784144,6.2818463004
1.4490339773,8.7730252506
1.4656895403,10.2594603448
1.4823451033,11.0719531536
1.4990006662,13.5819480897
1.5156562292,16.9219171185
1.5323117921,24.6964916574
1.5489673551,19.3841930321
1.5656229181,4.4503088412
1.5822784810,12.1327255931
1.598934044,11.5676661137
1.6155896069,7.2299757171
1.6322451699,10.139637362
1.6489007328,4.9668650466
1.6655562958,11.1749464415
1.6822118588,4.4400862057
1.6988674217,14.3891925363
1.7155229847,6.6338020094
1.7321785476,13.0406667344
1.7488341106,6.3076757074
1.7654896736,17.0066312110
1.7821452365,8.1684521602
1.7988007995,6.5206647501
1.8154563624,14.6590585949
1.8321119254,11.2496741486
1.8487674883,8.4932381538
1.8654230513,6.3517324879
1.8820786143,8.3239059125
1.8987341772,11.7173684529
1.9153897402,10.9705544220
1.9320453031,8.2001101363
1.9487008661,7.2670400876
1.9653564290,6.0310267853
1.9820119920,7.8860305946
1.998667555,9.9760024859
2.0153231179,13.4454028946
2.0319786809,10.6192158386
2.0486342438,11.2525953686
2.0652898068,8.9177404041
2.0819453698,7.4228576373
2.0986009327,8.4838644535
2.1152564957,7.9535400956
2.1319120586,8.0049653815
2.1485676216,7.8730838679
2.1652231845,7.8795265938
2.1818787475,8.0390940968
2.1985343105,8.0201319656
2.2151898734,7.3525875681
2.2318454364,8.9409715880
2.2485009993,8.7757569410
2.2651565623,8.6005553892
2.2818121253,9.0888686772
2.2984676882,8.3580404562
2.3151232512,8.1201144606
2.3317788141,8.3504154734
2.3484343771,8.3667846708
2.3650899400,8.8635622289
2.3817455030,9.8969923894
2.398401066,8.8482781311
2.4150566289,8.6245176751
2.4317121919,8.5369244736
2.4483677548,8.7543124385
2.4650233178,8.7879271184
2.4816788807,8.7771433104
2.4983344437,8.8795437379
2.5149900067,8.3754947235
2.5316455696,8.1785294148
2.5483011326,7.7508428701
2.5649566955,8.3353250724
2.5816122585,8.8046343869
2.5982678215,7.9730971717
2.6149233844,8.8992128963
2.6315789474,8.8105383388
2.6482345103,8.4476093609
2.6648900733,8.777016823
2.6815456362,8.6544541773
2.6982011992,8.6469787899
2.7148567622,8.4881599498
2.7315123251,7.7296982205
2.7481678881,8.5548281329
2.7648234510,7.3950087987
2.781479014,7.3309630197
2.798134577,8.1188016794
2.8147901399,7.9196315399
2.8314457029,8.3568126852
2.8481012658,8.5258022099
2.8647568288,7.8938406264
2.8814123917,9.0937093818
2.8980679547,8.8055738818
2.9147235177,8.7449035001
2.9313790806,9.5399716092
2.9480346436,8.8919945963
2.9646902065,10.6120283621
2.9813457695,9.6450204566
2.9980013324,7.5642275276
3.0146568954,7.4304490578
3.0313124584,6.4499810294
3.0479680213,7.390810884
3.0646235843,6.023599277
3.0812791472,9.1033643268
3.0979347102,13.1435694568
3.1145902732,8.8451695621
3.1312458361,6.9243817320
3.1479013991,8.8160305694
3.1645569620,9.3889936759
3.181212525,9.4836985416
3.1978680879,10.1746263522
3.2145236509,9.2674490845
3.2311792139,8.1372003335
3.2478347768,9.2656063928
3.2644903398,8.8376919373
3.2811459027,9.5214969577
3.2978014657,10.3233675456
3.3144570287,9.3889230688
3.3311125916,9.3163352407
3.3477681546,10.1601514389
3.3644237175,8.8810647962
3.3810792805,9.0384548773
3.3977348434,9.0421213352
3.4143904064,8.0610925699
3.4310459694,9.5495923588
3.4477015323,9.2361925345
3.4643570953,9.1747233882
3.4810126582,8.7539495762
3.4976682212,9.0689869317
3.5143237841,9.2094762932
3.5309793471,7.9430397679
3.5476349101,10.3030889732
3.5642904730,8.9819832543
3.580946036,7.0598086062
3.5976015989,10.0057257110
3.6142571619,8.9020821983
3.6309127249,8.0633740407
3.6475682878,7.9297782447
3.6642238508,9.03132908
3.6808794137,9.8494214852
3.6975349767,9.4534621942
3.7141905396,7.6288787830
3.7308461026,8.7513723523
3.7475016656,9.0708377171
3.7641572285,9.4555645514
3.7808127915,9.0083591127
3.7974683544,8.9798966193
3.8141239174,8.2613569162
3.8307794803,8.7159924078
3.8474350433,9.2872800755
3.8640906063,8.7046454530
3.8807461692,9.3033426787
3.8974017322,8.9706127845
3.9140572951,8.0417886761
3.9307128581,8.4726862370
3.9473684211,8.5810649514
3.9640239840,9.7993414182
3.980679547,8.8417112706
3.9973351099,8.7706260888
4.0139906729,8.5413976759
4.0306462358,8.2263680694
4.0473017988,8.1262896603
4.0639573618,8.2065762114
4.0806129247,8.2571096679
4.0972684877,9.2300771045
4.1139240506,8.7536555694
4.1305796136,9.1662268363
4.1472351766,9.3051270659
4.1638907395,8.9616239181
4.1805463025,9.2559834378
4.1972018654,8.6017090361
4.2138574284,8.6781270932
4.2305129913,8.8641194237
4.2471685543,7.8276205324
4.2638241173,8.5923296246
4.2804796802,8.7783827029
4.2971352432,8.8406290048
4.3137908061,8.6146508558
4.3304463691,8.7220665113
4.3471019320,8.0682757521
4.3637574950,8.2476260592
4.380413058,8.2369850217
4.3970686209,8.5709624515
4.4137241839,9.0075792587
4.4303797468,8.2231006140
4.4470353098,8.8527646888
4.4636908728,8.8090145769
4.4803464357,8.5968276072
4.4970019987,8.0242906289
4.5136575616,8.2453881509
4.5303131246,8.9515246482
4.5469686875,9.6069177454
4.5636242505,9.1371479202
4.5802798135,9.5940889091
4.5969353764,9.0696440435
4.6135909394,9.2213314846
4.6302465023,8.3236233023
4.6469020653,8.3148655776
4.6635576283,9.5222171906
4.6802131912,8.6197708873
4.6968687542,8.3010600052
4.7135243171,8.3907803895
4.7301798801,8.5572922546
4.7468354430,8.7806905340
4.7634910060,8.7011988259
4.780146569,8.6074814913
4.7968021319,7.9877936296
4.8134576949,8.2482393839
4.8301132578,8.2863037849
4.8467688208,8.2014033867
4.8634243837,8.6342321639
4.8800799467,8.7584614910
4.8967355097,8.4223247263
4.9133910726,9.1567192121
4.9300466356,8.4851023969
4.9467021985,9.2837178365
4.9633577615,8.5633682089
4.9800133245,8.6682756162
4.9966688874,8.8509729785
5.0133244504,8.8606522993
5.0299800133,8.6878536628
5.0466355763,8.9352994432
5.0632911392,8.7310301775
