x0000,y0000
186.35,12540.
186.37,12539.
186.39,12527.
186.41,12517.
186.43,12533.
186.45,12512.
186.47,12517.
186.49,12500.
186.51,12514.
186.53,12506.
186.55,12512.
186.57,12494.
186.59,12488.
186.61,12490.
186.63,12488.
186.65,12491.
186.67,12485.
186.69,12483.
186.71,12491.
186.73,12507.
186.75,12479.
186.76,12492.
186.78,12504.
186.8,12508.
186.82,12515.
186.84,12524.
186.86,12524.
186.88,12516.
186.9,12512.
186.92,12510.
186.94,12525.
186.96,12531.
186.98,12523.
187.,12534.
187.02,12533.
187.04,12532.
187.06,12534.
187.08,12533.
187.1,12515.
187.12,12512.
187.14,12496.
187.16,12495.
187.18,12479.
187.2,12474.
187.22,12477.
187.24,12468.
187.26,12467.
187.28,12483.
187.3,12454.
187.32,12462.
187.34,12478.
187.36,12464.
187.38,12472.
187.4,12484.
187.42,12463.
187.44,12462.
187.46,12460.
187.48,12469.
187.5,12468.
187.52,12463.
187.54,12458.
187.56,12475.
187.58,12467.
187.6,12472.
187.62,12461.
187.64,12466.
187.66,12482.
187.68,12468.
187.7,12475.
187.72,12466.
187.74,12491.
187.76,12494.
187.77,12470.
187.79,12491.
187.81,12500.
187.83,12499.
187.85,12501.
187.87,12494.
187.89,12506.
187.91,12487.
187.93,12486.
187.95,12467.
187.97,12463.
187.99,12455.
188.01,12456.
188.03,12458.
188.05,12454.
188.07,12454.
188.09,12448.
188.11,12451.
188.13,12456.
188.15,12451.
188.17,12459.
188.19,12460.
188.21,12445.
188.23,12455.
188.25,12469.
188.27,12460.
188.29,12459.
188.31,12462.
188.33,12449.
188.35,12463.
188.37,12458.
188.39,12467.
188.41,12453.
188.43,12469.
188.45,12457.
188.47,12500.
188.49,12465.
188.51,12462.
188.53,12478.
188.55,12487.
188.57,12483.
188.59,12498.
188.61,12481.
188.63,12504.
188.65,12492.
188.67,12491.
188.69,12500.
188.71,12463.
188.73,12458.
188.75,12485.
188.77,12472.
188.79,12467.
188.8,12464.
188.82,12454.
188.84,12467.
188.86,12469.
188.88,12468.
188.9,12471.
188.92,12459.
188.94,12484.
188.96,12472.
188.98,12493.
189.,12466.
189.02,12477.
189.04,12471.
189.06,12479.
189.08,12482.
189.1,12462.
189.12,12473.
189.14,12492.
189.16,12470.
189.18,12480.
189.2,12505.
189.22,12495.
189.24,12484.
189.26,12492.
189.28,12513.
189.3,12511.
189.32,12492.
189.34,12511.
189.36,12519.
189.38,12521.
189.4,12505.
189.42,12525.
189.44,12515.
189.46,12533.
189.48,12543.
189.5,12536.
189.52,12504.
189.54,12489.
189.56,12522.
189.58,12513.
189.6,12507.
189.62,12513.
189.64,12508.
189.66,12529.
189.68,12520.
189.7,12512.
189.72,12530.
189.74,12541.
189.76,12528.
189.78,12524.
189.8,12550.
189.82,12542.
189.83,12558.
189.85,12525.
189.87,12539.
189.89,12537.
189.91,12544.
189.93,12538.
189.95,12537.
189.97,12553.
189.99,12537.
190.01,12558.
190.03,12544.
190.05,12574.
190.07,12563.
190.09,12560.
190.11,12559.
190.13,12580.
190.15,12581.
190.17,12580.
190.19,12586.
190.21,12552.
190.23,12604.
190.25,12599.
190.27,12593.
190.29,12598.
190.31,12598.
190.33,12592.
190.35,12596.
190.37,12597.
190.39,12577.
190.41,12595.
190.43,12557.
190.45,12572.
190.47,12576.
190.49,12555.
190.51,12569.
190.53,12573.
190.55,12570.
190.57,12575.
190.59,12552.
190.61,12561.
190.63,12565.
190.65,12582.
190.67,12547.
190.69,12569.
190.71,12574.
190.73,12551.
190.75,12571.
190.77,12557.
190.79,12565.
190.81,12559.
190.83,12552.
190.85,12568.
190.86,12573.
190.88,12568.
190.9,12572.
190.92,12572.
190.94,12580.
190.96,12572.
190.98,12586.
191.,12586.
191.02,12586.
191.04,12589.
191.06,12603.
191.08,12592.
191.1,12602.
191.12,12596.
191.14,12594.
191.16,12605.
191.18,12587.
191.2,12586.
191.22,12568.
191.24,12571.
191.26,12577.
191.28,12580.
191.3,12556.
191.32,12574.
191.34,12581.
191.36,12578.
191.38,12568.
191.4,12558.
191.42,12568.
191.44,12571.
191.46,12577.
191.48,12564.
191.5,12552.
191.52,12561.
191.54,12564.
191.56,12572.
191.58,12579.
191.6,12575.
191.62,12574.
191.64,12583.
191.66,12576.
191.68,12580.
191.7,12577.
191.72,12573.
191.74,12599.
191.76,12577.
191.78,12599.
191.8,12608.
191.82,12604.
191.84,12610.
191.86,12607.
191.88,12609.
191.89,12608.
191.91,12611.
191.93,12604.
191.95,12599.
191.97,12591.
191.99,12587.
192.01,12584.
192.03,12581.
192.05,12567.
192.07,12577.
192.09,12578.
192.11,12591.
192.13,12589.
192.15,12588.
192.17,12576.
192.19,12571.
192.21,12580.
192.23,12593.
192.25,12577.
192.27,12578.
192.29,12572.
192.31,12579.
192.33,12583.
192.35,12576.
192.37,12591.
192.39,12604.
192.41,12607.
192.43,12611.
192.45,12590.
192.47,12606.
192.49,12587.
192.51,12590.
192.53,12605.
192.55,12617.
192.57,12604.
192.59,12611.
192.61,12621.
192.63,12631.
192.65,12629.
192.67,12626.
192.69,12615.
192.71,12619.
192.73,12607.
192.75,12592.
192.77,12600.
192.79,12583.
192.81,12584.
192.83,12583.
192.85,12590.
192.87,12582.
192.89,12585.
192.91,12586.
192.92,12588.
192.94,12590.
192.96,12585.
192.98,12603.
193.,12590.
193.02,12582.
193.04,12588.
193.06,12593.
193.08,12596.
193.1,12579.
193.12,12587.
193.14,12611.
193.16,12602.
193.18,12610.
193.2,12607.
193.22,12599.
193.24,12601.
193.26,12608.
193.28,12605.
193.3,12619.
193.32,12624.
193.34,12624.
193.36,12620.
193.38,12619.
193.4,12639.
193.42,12643.
193.44,12644.
193.46,12650.
193.48,12627.
193.5,12631.
193.52,12614.
193.54,12611.
193.56,12612.
193.58,12620.
193.6,12600.
193.62,12620.
193.64,12615.
193.66,12606.
193.68,12614.
193.7,12615.
193.72,12607.
193.74,12619.
193.76,12619.
193.78,12625.
193.8,12641.
193.82,12603.
193.84,12609.
193.86,12624.
193.88,12617.
193.9,12621.
193.92,12616.
193.94,12642.
193.95,12626.
193.97,12626.
193.99,12638.
194.01,12637.
194.03,12660.
194.05,12656.
194.07,12649.
194.09,12645.
194.11,12651.
194.13,12670.
194.15,12669.
194.17,12677.
194.19,12663.
194.21,12678.
194.23,12673.
194.25,12684.
194.27,12678.
194.29,12676.
194.31,12656.
194.33,12666.
194.35,12672.
194.37,12664.
194.39,12674.
194.41,12671.
194.43,12670.
194.45,12680.
194.47,12672.
194.49,12666.
194.51,12676.
194.53,12683.
194.55,12686.
194.57,12678.
194.59,12667.
194.61,12695.
194.63,12680.
194.65,12679.
194.67,12692.
194.69,12689.
194.71,12683.
194.73,12689.
194.75,12696.
194.77,12714.
194.79,12705.
194.81,12715.
194.83,12699.
194.85,12722.
194.87,12708.
194.89,12692.
194.91,12704.
194.93,12726.
194.95,12734.
194.97,12729.
194.98,12725.
195.,12717.
195.02,12732.
195.04,12711.
195.06,12718.
195.08,12711.
195.1,12702.
195.12,12694.
195.14,12714.
195.16,12693.
195.18,12694.
195.2,12692.
195.22,12702.
195.24,12702.
195.26,12710.
195.28,12719.
195.3,12699.
195.32,12715.
195.34,12709.
195.36,12716.
195.38,12694.
195.4,12720.
195.42,12712.
195.44,12711.
195.46,12716.
195.48,12724.
195.5,12723.
195.52,12723.
195.54,12727.
195.56,12746.
195.58,12733.
195.6,12743.
195.62,12734.
195.64,12753.
195.66,12731.
195.68,12756.
195.7,12764.
195.72,12764.
195.74,12766.
195.76,12787.
195.78,12748.
195.8,12771.
195.82,12750.
195.84,12760.
195.86,12762.
195.88,12736.
195.9,12758.
195.92,12747.
195.94,12749.
195.96,12749.
195.98,12735.
196.,12724.
196.01,12724.
196.03,12729.
196.05,12739.
196.07,12725.
196.09,12746.
196.11,12767.
196.13,12768.
196.15,12739.
196.17,12742.
196.19,12738.
196.21,12759.
196.23,12755.
196.25,12744.
196.27,12748.
196.29,12739.
196.31,12765.
196.33,12765.
196.35,12757.
196.37,12764.
196.39,12757.
196.41,12758.
196.43,12770.
196.45,12774.
196.47,12768.
196.49,12765.
196.51,12772.
196.53,12777.
196.55,12779.
196.57,12771.
196.59,12775.
196.61,12784.
196.63,12788.
196.65,12780.
196.67,12789.
196.69,12780.
196.71,12764.
196.73,12771.
196.75,12758.
196.77,12761.
196.79,12746.
196.81,12752.
196.83,12759.
196.85,12734.
196.87,12749.
196.89,12765.
196.91,12765.
196.93,12751.
196.95,12748.
196.97,12752.
196.99,12758.
197.01,12756.
197.03,12734.
197.04,12754.
197.06,12759.
197.08,12735.
197.1,12753.
197.12,12763.
197.14,12740.
197.16,12737.
197.18,12770.
197.2,12761.
197.22,12742.
197.24,12753.
197.26,12756.
197.28,12765.
197.3,12763.
197.32,12780.
197.34,12760.
197.36,12765.
197.38,12784.
197.4,12790.
197.42,12774.
197.44,12803.
197.46,12793.
197.48,12798.
197.5,12798.
197.52,12764.
197.54,12777.
197.56,12759.
197.58,12757.
197.6,12758.
197.62,12749.
197.64,12747.
197.66,12759.
197.68,12760.
197.7,12777.
197.72,12745.
197.74,12757.
197.76,12753.
197.78,12758.
197.8,12753.
197.82,12743.
197.84,12747.
197.86,12735.
197.88,12759.
197.9,12760.
197.92,12735.
197.94,12748.
197.96,12732.
197.98,12738.
198.,12735.
198.02,12748.
198.04,12747.
198.06,12747.
198.07,12751.
198.09,12752.
198.11,12754.
198.13,12766.
198.15,12766.
198.17,12778.
198.19,12764.
198.21,12764.
198.23,12777.
198.25,12768.
198.27,12764.
198.29,12763.
198.31,12763.
198.33,12773.
198.35,12748.
198.37,12738.
198.39,12736.
198.41,12727.
198.43,12731.
198.45,12720.
198.47,12728.
198.49,12715.
198.51,12733.
198.53,12721.
198.55,12732.
198.57,12688.
198.59,12719.
198.61,12745.
198.63,12738.
198.65,12721.
198.67,12716.
198.69,12722.
198.71,12735.
198.73,12719.
198.75,12724.
198.77,12719.
198.79,12726.
198.81,12730.
198.83,12736.
198.85,12750.
198.87,12741.
198.89,12741.
198.91,12735.
198.93,12748.
198.95,12747.
198.97,12754.
198.99,12769.
199.01,12760.
199.03,12751.
199.05,12762.
199.07,12761.
199.09,12757.
199.1,12763.
199.12,12770.
199.14,12739.
199.16,12753.
199.18,12748.
199.2,12740.
199.22,12729.
199.24,12732.
199.26,12722.
199.28,12729.
199.3,12734.
199.32,12735.
199.34,12724.
199.36,12733.
199.38,12735.
199.4,12732.
199.42,12727.
199.44,12728.
199.46,12726.
199.48,12734.
199.5,12709.
199.52,12723.
199.54,12726.
199.56,12726.
199.58,12722.
199.6,12730.
199.62,12727.
199.64,12753.
199.66,12733.
199.68,12748.
199.7,12736.
199.72,12733.
199.74,12744.
199.76,12746.
199.78,12757.
199.8,12743.
199.82,12750.
199.84,12748.
199.86,12758.
199.88,12748.
199.9,12777.
199.92,12775.
199.94,12792.
199.96,12780.
199.98,12800.
200.,12768.
200.02,12786.
200.04,12744.
200.06,12745.
200.08,12747.
200.1,12761.
200.12,12739.
200.13,12751.
200.15,12746.
200.17,12745.
200.19,12734.
200.21,12740.
200.23,12739.
200.25,12742.
200.27,12751.
200.29,12749.
200.31,12741.
200.33,12754.
200.35,12735.
200.37,12732.
200.39,12758.
200.41,12752.
200.43,12761.
200.45,12760.
200.47,12763.
200.49,12762.
200.51,12769.
200.53,12778.
200.55,12782.
200.57,12789.
200.59,12777.
200.61,12777.
200.63,12779.
200.65,12780.
200.67,12799.
200.69,12793.
200.71,12783.
200.73,12788.
200.75,12783.
