x0000,y0000
0.016655563,129.569310912
0.0333111259,106.9744039768
0.0499666889,81.5686262966
0.0666222518,40.0366579103
0.0832778148,48.3791924261
0.0999333777,24.4569783023
0.1165889407,31.2812047218
0.1332445037,22.6075222164
0.1499000666,5.4500568444
0.1665556296,13.8194215345
0.1832111925,10.7754579124
0.1998667555,3.7660938283
0.2165223185,7.5429990639
0.2331778814,1.6859933285
0.2498334444,5.9080113262
0.2664890073,11.3897824462
0.2831445703,3.1560232304
0.2998001332,5.7974372096
0.3164556962,2.7963862686
0.3331112592,6.6821319187
0.3497668221,11.3010148882
0.3664223851,8.0738580587
0.3830779480,6.2468900969
0.399733511,9.1354023759
0.416389074,9.9583777704
0.4330446369,6.7834930892
0.4497001999,7.4983047558
0.4663557628,8.914586032
0.4830113258,9.9558131191
0.4996668887,6.6229647839
0.5163224517,6.5650116450
0.5329780147,8.1586831044
0.5496335776,8.0582880455
0.5662891406,6.8470118389
0.5829447035,6.7319329717
0.5996002665,6.3534996057
0.6162558294,5.1910529106
0.6329113924,4.5165064777
0.6495669554,5.4970420607
0.6662225183,3.3339893754
0.6828780813,2.9476414166
0.6995336442,3.1979554179
0.7161892072,3.3978830185
0.7328447702,3.7303854791
0.7495003331,3.4457907915
0.7661558961,3.0721780858
0.7828114590,3.6134582847
0.799467022,3.7623096292
0.8161225849,3.6383826143
0.8327781479,2.8997544408
0.8494337109,3.7190430551
0.8660892738,2.6439230299
0.8827448368,4.1405352666
0.8994003997,1.8365456509
0.9160559627,2.447660419
0.9327115257,2.4736389831
0.9493670886,2.2099733054
0.9660226516,2.1948338108
0.9826782145,2.0060875803
0.9993337775,2.6323988917
1.0159893404,1.5762840970
1.0326449034,1.8147007764
1.0493004664,2.0888926494
1.0659560293,2.5391745729
1.0826115923,2.6403736470
1.0992671552,2.6438545318
1.1159227182,2.9193206627
1.1325782811,0.5261161229
1.1492338441,2.2944763092
1.1658894071,3.6519668088
1.1825449700,4.3971961805
1.199200533,6.0136629617
1.2158560959,8.2038166391
1.2325116589,3.3755342237
1.2491672219,8.3782353901
1.2658227848,1.0027107882
1.2824783478,7.1078680669
1.2991339107,6.1099893528
1.3157894737,4.5907248729
1.3324450366,3.3268525522
1.3491005996,1.7316758055
1.3657561626,1.4168300053
1.3824117255,2.1511399146
1.3990672885,1.0635348364
1.4157228514,1.3754472205
1.4323784144,1.5821768271
1.4490339773,2.3441755926
1.4656895403,1.9007924903
1.4823451033,1.7017261476
1.4990006662,1.4968068307
1.5156562292,0.0696872529
1.5323117921,0.348277711
1.5489673551,1.4474068934
1.5656229181,0.8407291806
1.5822784810,1.2326919802
