x0000,y0000
0.,0.
0.33,8181.
332.35,8244.
332.37,8248.
332.39,8188.
332.41,8232.
332.43,8191.
332.45,8238.
332.47,8273.
332.49,8143.
332.51,8245.
332.53,8176.
332.55,8156.
332.57,8212.
332.59,8200.
332.61,8159.
332.63,8184.
332.65,8252.
332.67,8180.
332.69,8163.
332.71,8233.
332.73,8239.
332.75,8175.
332.77,8206.
332.79,8255.
332.81,8214.
332.83,8241.
332.85,8230.
332.87,8247.
332.89,8233.
332.91,8170.
332.93,8280.
332.95,8222.
332.97,8191.
332.99,8239.
333.01,8271.
333.03,8175.
333.05,8208.
333.06,8214.
333.08,8160.
333.1,8177.
333.12,8167.
333.14,8132.
333.16,8210.
333.18,8185.
333.2,8175.
333.22,8196.
333.24,8224.
333.26,8184.
333.28,8174.
333.3,8214.
333.32,8191.
333.34,8158.
333.36,8168.
333.38,8235.
333.4,8218.
333.42,8173.
333.44,8199.
333.46,8239.
333.48,8145.
333.5,8180.
333.52,8273.
333.54,8189.
333.56,8251.
333.58,8237.
333.6,8236.
333.62,8194.
333.64,8237.
333.66,8232.
333.68,8187.
333.7,8166.
333.72,8243.
333.74,8255.
333.76,8164.
333.78,8177.
333.8,8167.
333.82,8204.
333.84,8282.
333.86,8179.
333.88,8218.
333.9,8213.
333.92,8219.
333.94,8167.
333.96,8177.
333.98,8215.
334.,8216.
334.02,8185.
334.04,8203.
334.06,8197.
334.08,8262.
334.1,8209.
334.12,8149.
334.13,8200.
334.15,8198.
334.17,8187.
334.19,8225.
334.21,8195.
334.23,8248.
334.25,8260.
334.27,8194.
334.29,8244.
334.31,8254.
334.33,8204.
334.35,8226.
334.37,8190.
334.39,8196.
334.41,8210.
334.43,8155.
334.45,8262.
334.47,8256.
334.49,8143.
334.51,8167.
334.53,8233.
334.55,8148.
334.57,8171.
334.59,8225.
334.61,8219.
334.63,8193.
334.65,8259.
334.67,8255.
334.69,8208.
334.71,8262.
334.73,8208.
334.75,8227.
334.77,8242.
334.79,8174.
334.81,8194.
334.83,8164.
334.85,8187.
334.87,8150.
334.89,8175.
334.91,8154.
334.93,8213.
334.95,8224.
334.97,8167.
334.99,8191.
335.01,8275.
335.03,8246.
335.05,8192.
335.07,8254.
335.09,8259.
335.11,8145.
335.13,8205.
335.15,8264.
335.17,8163.
335.19,8220.
335.21,8256.
335.23,8182.
335.24,8175.
335.26,8255.
335.28,8157.
335.3,8155.
335.32,8170.
335.34,8175.
335.36,8156.
335.38,8170.
335.4,8262.
335.42,8156.
335.44,8233.
335.46,8253.
335.48,8215.
335.5,8182.
335.52,8255.
335.54,8222.
335.56,8179.
335.58,8188.
335.6,8154.
335.62,8228.
335.64,8179.
335.66,8149.
335.68,8239.
335.7,8217.
335.72,8236.
335.74,8222.
335.76,8201.
335.78,8163.
335.8,8247.
335.82,8277.
335.84,8177.
335.86,8219.
335.88,8188.
335.9,8132.
335.92,8193.
335.94,8259.
335.96,8161.
335.98,8207.
336.,8230.
336.02,8216.
336.04,8161.
336.06,8185.
336.08,8249.
336.1,8160.
336.12,8270.
336.14,8218.
336.16,8145.
336.18,8225.
336.2,8250.
336.22,8234.
336.24,8181.
336.26,8213.
336.28,8167.
336.3,8188.
336.31,8163.
336.33,8165.
336.35,8182.
336.37,8178.
336.39,8179.
336.41,8232.
