starting,,,10 avg,3 avg
695853821,695.853821,8804,8803.777778,8806
695870420,695.87042,8792,8803.333333,8798
695890205,695.890205,8800,8802.444444,8798.666667
695909984,695.909984,8801,8802.333333,8797.666667
695929764,695.929764,8794,8801.222222,8798.333333
695949539,695.949539,8799,8801,8798
695969318,695.969318,8805,8800.555556,8799.333333
695989097,695.989097,8798,8800.111111,8800.666667
696008871,696.008871,8804,8799.666667,8802.333333
696028650,696.02865,8801,8799.8,8801
696048426,696.048426,8804,8799.8,8803
696068203,696.068203,8804,8801,8803
696087982,696.087982,8802,8801.2,8803.333333
696107757,696.107757,8804,8801.5,8803.333333
696127536,696.127536,8804,8802.5,8803.333333
696147316,696.147316,8804,8803,8804
696167090,696.16709,8807,8803.2,8805
696186869,696.186869,8808,8804.2,8806.333333
696206647,696.206647,8806,8804.4,8807
696226424,696.226424,8806,8804.9,8806.666667
696246201,696.246201,8803,8804.8,8805
696265978,696.265978,8810,8805.4,8806.333333
696285755,696.285755,8803,8805.5,8805.333333
696305534,696.305534,8800,8805.1,8804.333333
696325311,696.325311,8802,8804.9,8801.666667
696345088,696.345088,8799,8804.4,8800.333333
696364867,696.364867,8799,8803.6,8800
696384643,696.384643,8795,8802.3,8797.666667
696404421,696.404421,8803,8802,8799
696424200,696.4242,8802,8801.6,8800
696444135,696.444135,8797,8801,8800.666667
696463912,696.463912,8805,8800.5,8801.333333
696483691,696.483691,8797,8799.9,8799.666667
696503467,696.503467,8800,8799.9,8800.666667
696523245,696.523245,8802,8799.9,8799.666667
696543022,696.543022,8807,8800.7,8803
696562799,696.562799,8797,8800.5,8802
696582577,696.582577,8795,8800.5,8799.666667
696602353,696.602353,8807,8800.9,8799.666667
696622131,696.622131,8802,8800.9,8801.333333
696641910,696.64191,8808,8802,8805.666667
696661684,696.661684,8804,8801.9,8804.666667
696681464,696.681464,8798,8802,8803.333333
696701242,696.701242,8804,8802.4,8802
696721017,696.721017,8801,8802.3,8801
696740797,696.740797,8803,8801.9,8802.666667
696760575,696.760575,8798,8802,8800.666667
696780350,696.78035,8806,8803.1,8802.333333
696800129,696.800129,8806,8803,8803.333333
