,16383,0
147.03,16383,0
147.04,16383,0
147.06,16383,0
147.08,16383,0
147.10,16383,0
147.12,16383,0
147.14,16383,0
147.16,16383,0
147.18,16383,0
147.20,16383,0
147.22,16383,0
147.24,16383,0
147.26,16383,0
147.28,16383,0
147.30,16383,0
147.32,16383,0
147.34,16383,0
147.36,16383,0
147.38,16383,0
147.40,16383,0
147.42,16383,0
147.44,16383,0
147.46,16383,0
147.48,16383,0
147.50,16383,0
147.52,16383,0
147.54,16383,0
147.56,16383,0
147.58,16383,0
147.60,16383,0
147.62,16383,0
147.64,16383,0
147.66,16383,0
147.68,16383,0
147.70,16383,0
147.72,16383,0
147.74,16383,0
147.76,16383,0
147.78,16383,0
147.80,16383,0
147.82,16383,0
147.84,16383,0
147.86,16383,0
147.88,16383,0
147.90,16383,0
147.91,16383,0
147.93,16383,0
147.95,16383,0
147.97,16383,0
147.99,16383,0
148.01,16383,0
148.03,16383,0
148.05,16383,0
148.07,16383,0
148.09,16383,0
148.11,16383,0
148.13,16383,0
148.15,16383,0
148.17,16383,0
148.19,16383,0
148.21,16383,0
148.23,16383,0
148.25,16383,0
148.27,16383,0
148.29,16383,0
148.31,16383,0
148.33,16383,0
148.35,16383,0
148.37,16383,0
148.39,16383,0
148.41,16383,0
148.43,16383,0
148.45,16383,0
148.47,16383,0
148.49,16383,0
148.51,16383,0
148.53,16383,0
148.55,16383,0
148.57,16383,0
148.59,16383,0
148.61,16383,0
148.63,16383,0
148.65,16383,0
148.67,16383,0
148.69,16383,0
148.71,16383,0
148.73,16383,0
148.75,16383,0
148.77,16383,0
148.78,16383,0
148.80,16383,0
148.82,16383,0
148.84,16383,0
148.86,16383,0
148.88,16383,0
148.90,16383,0
148.92,16383,0
148.94,16383,0
148.96,16383,0
148.98,16383,0
149.00,16383,0
149.02,16383,0
149.04,16383,0
149.06,16383,0
149.08,16383,0
149.10,16383,0
149.12,16383,0
149.14,16383,0
149.16,16383,0
149.18,16383,0
149.20,16383,0
149.22,16383,0
149.24,16383,0
149.26,16383,0
149.28,16383,0
149.30,16383,0
149.32,16383,0
149.34,16383,0
149.36,16383,0
149.38,16383,0
149.40,16383,0
149.42,16383,0
149.44,16383,0
149.46,16383,0
149.48,16383,0
149.50,16383,0
149.52,16383,0
149.54,16383,0
149.56,16383,0
149.58,16383,0
149.60,16383,0
149.62,16383,0
149.64,16383,0
149.66,16383,0
149.67,16383,0
149.69,16383,0
149.71,16383,0
149.73,16383,0
149.75,16383,0
149.77,16383,0
149.79,16383,0
149.81,16383,0
149.83,16383,0
149.85,16383,0
149.87,16383,0
149.89,16383,0
149.91,16383,0
149.93,16383,0
149.95,16383,0
149.97,16383,0
149.99,16383,0
150.01,16383,0
150.03,16383,0
150.05,16383,0
150.07,16383,0
150.09,16383,0
150.11,16383,0
150.13,16383,0
150.15,16383,0
150.17,16383,0
150.19,16383,0
150.21,16383,0
150.23,16383,0
150.25,16383,0
150.27,16383,0
150.29,16383,0
150.31,16383,0
150.33,16383,0
150.35,16383,0
150.37,16383,0
150.39,16383,0
150.41,16383,0
150.43,16383,0
150.45,16383,0
150.47,16383,0
150.49,16383,0
150.51,16383,0
150.53,16383,0
150.55,16383,0
150.56,16383,0
150.58,16383,0
150.60,16383,0
150.62,16383,0
150.64,16383,0
150.66,16383,0
150.68,16383,0
150.70,16383,0
150.72,16383,0
150.74,16383,0
150.76,16383,0
150.78,16383,0
150.80,16383,0
150.82,16383,0
150.84,16383,0
150.86,16383,0
150.88,16383,0
150.90,16383,0
150.92,16383,0
150.94,16383,0
150.96,16383,0
150.98,16383,0
151.00,16383,0
151.02,16383,0
151.04,16383,0
151.06,16383,0
151.08,16383,0
151.10,16383,0
151.12,16383,0
151.14,16383,0
151.16,16383,0
151.18,16383,0
151.20,16383,0
151.22,16383,0
151.24,16383,0
151.26,16383,0
151.28,16383,0
151.30,16383,0
151.32,16383,0
151.34,16383,0
151.36,16383,0
151.38,16383,0
151.40,16383,0
151.42,16383,0
151.43,16383,0
151.45,16383,0
151.47,16383,0
151.49,16383,0
151.51,16383,0
151.53,16383,0
151.55,16383,0
151.57,16383,0
151.59,16383,0
151.61,16383,0
151.63,16383,0
151.65,16383,0
151.67,16383,0
151.69,16383,0
151.71,16383,0
151.73,16383,0
151.75,16383,0
151.77,16383,0
151.79,16383,0
151.81,16383,0
151.83,16383,0
151.85,16383,0
151.87,16383,0
151.89,16383,0
151.91,16383,0
151.93,16383,0
151.95,16383,0
151.97,16383,0
151.99,16383,0
152.01,16383,0
152.03,16383,0
152.05,16383,0
152.07,16383,0
152.09,16383,0
152.11,16383,0
152.13,16383,0
152.15,16383,0
152.17,16383,0
152.19,16383,0
152.21,16383,0
152.23,16383,0
152.25,16383,0
152.27,16383,0
152.29,16383,0
152.31,16383,0
152.32,16383,0
152.34,16383,0
152.36,16383,0
152.38,16383,0
152.40,16383,0
152.42,16383,0
152.44,16383,0
152.46,16383,0
152.48,16383,0
152.50,16383,0
152.52,16383,0
152.54,16383,0
152.56,16383,0
152.58,16383,0
152.60,16383,0
152.62,16383,0
152.64,16383,0
152.66,16383,0
152.68,16383,0
152.70,16383,0
152.72,16383,0
152.74,16383,0
152.76,16383,0
152.78,16383,0
152.80,16383,0
152.82,16383,0
152.84,16383,0
152.86,16383,0
152.88,16383,0
152.90,16383,0
152.92,16383,0
152.94,16383,0
152.96,16383,0
152.98,16383,0
153.00,16383,0
153.02,16383,0
153.04,16383,0
153.06,16383,0
153.08,16383,0
153.10,16383,0
153.12,16383,0
153.14,16383,0
153.16,16383,0
153.18,16383,0
153.19,16383,0
153.21,16383,0
153.23,16383,0
153.25,16383,0
153.27,16383,0
153.29,16383,0
153.31,16383,0
153.33,16383,0
153.35,16383,0
153.37,16383,0
153.39,16383,0
153.41,16383,0
153.43,16383,0
153.45,16383,0
153.47,16383,0
153.49,16383,0
153.51,16383,0
153.53,16383,0
153.55,16383,0
153.57,16383,0
153.59,16383,0
153.61,16383,0
153.63,16383,0
153.65,16383,0
153.67,16383,0
153.69,16383,0
153.71,16383,0
153.73,16383,0
153.75,16383,0
153.77,16383,0
153.79,16383,0
153.81,16383,0
153.83,16383,0
153.85,16383,0
153.87,16383,0
153.89,16383,0
153.91,16383,0
153.93,16383,0
153.95,16383,0
153.97,16383,0
153.99,16383,0
154.01,16383,0
154.03,16383,0
154.05,16383,0
154.06,16383,0
154.08,16383,0
154.10,16383,0
154.12,16383,0
154.14,16383,0
154.16,16383,0
154.18,16383,0
154.20,16383,0
154.22,16383,0
154.24,16383,0
154.26,16383,0
154.28,16383,0
154.30,16383,0
154.32,16383,0
154.34,16383,0
154.36,16383,0
154.38,16383,0
154.40,16383,0
154.42,16383,0
154.44,16383,0
154.46,16383,0
154.48,16383,0
154.50,16383,0
154.52,16383,0
154.54,16383,0
154.56,16383,0
154.58,16383,0
154.60,16383,0
154.62,16383,0
154.64,16383,0
154.66,16383,0
154.68,16383,0
154.70,16383,0
154.72,16383,0
154.74,16383,0
154.76,16383,0
154.78,16383,0
154.80,16383,0
154.82,16383,0
154.84,16383,0
154.86,16383,0
154.88,16383,0
154.90,16383,0
154.92,16383,0
154.94,16383,0
154.95,16383,0
154.97,16383,0
154.99,16383,0
155.01,16383,0
155.03,16383,0
155.05,16383,0
155.07,16383,0
155.09,16383,0
155.11,16383,0
155.13,16383,0
155.15,16383,0
155.17,16383,0
155.19,16383,0
155.21,16383,0
155.23,16383,0
155.25,16383,0
155.27,16383,0
155.29,16383,0
155.31,16383,0
155.33,16383,0
155.35,16383,0
155.37,16383,0
155.39,16383,0
155.41,16383,0
155.43,16383,0
155.45,16383,0
155.47,16383,0
155.49,16383,0
155.51,16383,0
155.53,16383,0
155.55,16383,0
155.57,16383,0
155.59,16383,0
155.61,16383,0
155.63,16383,0
155.65,16383,0
155.67,16383,0
155.69,16383,0
155.71,16383,0
155.73,16383,0
155.75,16383,0
155.77,16383,0
155.79,16383,0
155.81,16383,0
155.83,16383,0
155.84,16383,0
155.86,16383,0
155.88,16383,0
155.90,16383,0
155.92,16383,0
155.94,16383,0
155.96,16383,0
155.98,16383,0
156.00,16383,0
156.02,16383,0
156.04,16383,0
156.06,16383,0
156.08,16383,0
156.10,16383,0
156.12,16383,0
156.14,16383,0
156.16,16383,0
156.18,16383,0
156.20,16383,0
156.22,16383,0
156.24,16383,0
156.26,16383,0
156.28,16383,0
156.30,16383,0
156.32,16383,0
156.34,16383,0
156.36,16383,0
156.38,16383,0
156.40,16383,0
156.42,16383,0
156.44,16383,0
156.46,16383,0
156.48,16383,0
156.50,16383,0
