8,0
8.36,14751,0
8.37,14828,0
8.39,14864,0
8.41,14890,0
8.43,14844,0
8.45,14913,0
8.47,14888,0
8.49,14942,0
8.51,14925,0
8.53,14987,0
8.55,14957,0
8.57,14901,0
8.59,14778,0
8.61,14624,0
8.63,14582,0
8.65,14476,0
8.67,14484,0
8.69,14415,0
8.71,14437,0
8.73,14438,0
8.75,14516,0
8.77,14556,0
8.79,14562,0
8.81,14553,0
8.83,14563,0
8.85,14615,0
8.87,14633,0
8.89,14606,0
8.91,14532,0
8.93,14514,0
8.95,14499,0
8.97,14553,0
8.99,14538,0
9.01,14574,0
9.03,14536,0
9.05,14627,0
9.07,14587,0
9.09,14613,0
9.11,14644,0
9.13,14719,0
9.15,14765,0
9.17,14790,0
9.19,14751,0
9.20,14800,0
9.22,14800,0
9.24,14830,0
9.26,14825,0
9.28,14896,0
9.30,14888,0
9.32,14814,0
9.34,14643,0
9.36,14527,0
9.38,14440,0
9.40,14427,0
9.42,14373,0
9.44,14328,0
9.46,14330,0
9.48,14352,0
9.50,14426,0
9.52,14376,0
9.54,14450,0
9.56,14428,0
9.58,14468,0
9.60,14425,0
9.62,14445,0
9.64,14368,0
9.66,14348,0
9.68,14371,0
9.70,14311,0
9.72,14311,0
9.74,14284,0
9.76,14351,0
9.78,14312,0
9.80,14352,0
9.82,14418,0
9.84,14435,0
9.86,14468,0
9.88,14436,0
9.90,14461,0
9.92,14491,0
9.94,14550,0
9.96,14567,0
9.98,14542,0
10.00,14564,0
10.02,14586,0
10.03,14670,0
10.05,14677,0
10.07,14699,0
10.09,14606,0
10.11,14544,0
10.13,14456,0
10.15,14359,0
10.17,14269,0
10.19,14169,0
10.21,14147,0
10.23,14147,0
10.25,14222,0
10.27,14215,0
10.29,14223,0
10.31,14225,0
10.33,14261,0
10.35,14344,0
10.37,14352,0
10.39,14362,0
10.41,14302,0
10.43,14280,0
10.45,14298,0
10.47,14276,0
10.49,14301,0
10.51,14236,0
10.53,14254,0
10.55,14260,0
10.57,14314,0
10.59,14367,0
10.61,14373,0
10.63,14359,0
10.65,14392,0
10.67,14448,0
10.69,14504,0
10.71,14529,0
10.73,14500,0
10.75,14531,0
10.77,14554,0
10.79,14625,0
10.81,14665,0
10.83,14627,0
10.85,14640,0
10.86,14624,0
10.88,14673,0
10.90,14664,0
10.92,14623,0
10.94,14476,0
10.96,14319,0
10.98,14180,0
11.00,14110,0
11.02,14013,0
11.04,13952,0
11.06,13911,0
11.08,13924,0
11.10,13989,0
11.12,14012,0
11.14,14019,0
11.16,13997,0
11.18,14012,0
11.20,14077,0
11.22,14068,0
11.24,14099,0
11.26,14034,0
11.28,14007,0
11.30,14005,0
11.32,13972,0
11.34,13990,0
11.36,13962,0
11.38,14038,0
11.40,14025,0
11.42,13997,0
11.44,14010,0
11.46,14022,0
11.48,14046,0
11.50,14098,0
11.52,14102,0
11.54,14127,0
11.56,14129,0
11.58,14214,0
11.60,14211,0
11.62,14253,0
11.64,14236,0
11.66,14257,0
11.68,14288,0
11.69,14319,0
11.71,14392,0
11.73,14343,0
11.75,14365,0
11.77,14359,0
11.79,14358,0
11.81,14242,0
11.83,14144,0
11.85,14040,0
11.87,13912,0
11.89,13920,0
11.91,13869,0
11.93,13914,0
11.95,13864,0
11.97,13898,0
11.99,13906,0
12.01,13930,0
12.03,13976,0
12.05,13964,0
12.07,14036,0
12.09,13989,0
12.11,14017,0
12.13,13948,0
12.15,13966,0
12.17,13964,0
12.19,13922,0
12.21,13938,0
12.23,13942,0
12.25,14004,0
12.27,13975,0
12.29,14040,0
12.31,14017,0
12.33,14062,0
12.35,14087,0
12.37,14114,0
12.39,14141,0
12.41,14131,0
12.43,14187,0
12.45,14173,0
12.47,14239,0
12.49,14229,0
12.50,14289,0
12.52,14268,0
12.54,14284,0
12.56,14333,0
12.58,14331,0
12.60,14374,0
12.62,14353,0
12.64,14437,0
12.66,14395,0
12.68,14373,0
12.70,14197,0
12.72,14079,0
12.74,13979,0
12.76,13972,0
12.78,13904,0
12.80,13924,0
12.82,13871,0
12.84,13905,0
12.86,13960,0
12.88,14009,0
12.90,14015,0
12.92,13997,0
12.94,14021,0
12.96,14041,0
12.98,14082,0
13.00,14080,0
13.02,14015,0
13.04,13986,0
13.06,13987,0
13.08,14039,0
13.10,14029,0
13.12,14058,0
13.14,14016,0
13.16,14035,0
13.18,14079,0
13.20,14097,0
13.22,14163,0
13.24,14126,0
13.26,14154,0
13.28,14192,0
13.30,14192,0
13.32,14246,0
13.34,14233,0
13.35,14296,0
13.37,14276,0
13.39,14368,0
13.41,14386,0
13.43,14409,0
13.45,14371,0
13.47,14390,0
13.49,14410,0
13.51,14479,0
13.53,14502,0
13.55,14476,0
13.57,14434,0
13.59,14357,0
13.61,14314,0
13.63,14229,0
13.65,14168,0
13.67,14074,0
13.69,14082,0
13.71,14092,0
13.73,14161,0
13.75,14161,0
13.77,14187,0
13.79,14209,0
13.81,14270,0
13.83,14269,0
13.85,14254,0
13.87,14305,0
13.89,14263,0
13.91,14268,0
13.93,14172,0
13.95,14177,0
13.97,14143,0
13.99,14150,0
14.01,14186,0
14.03,14167,0
14.05,14234,0
14.07,14212,0
14.09,14289,0
14.11,14260,0
14.13,14340,0
14.15,14294,0
14.16,14308,0
14.18,14325,0
14.20,14391,0
14.22,14406,0
14.24,14402,0
14.26,14356,0
14.28,14396,0
14.30,14407,0
14.32,14430,0
14.34,14430,0
14.36,14429,0
14.38,14451,0
14.40,14379,0
14.42,14290,0
14.44,14161,0
14.46,14104,0
14.48,14070,0
14.50,14019,0
14.52,13975,0
14.54,13981,0
14.56,14002,0
14.58,14080,0
14.60,14044,0
14.62,14124,0
14.64,14095,0
14.66,14172,0
14.68,14127,0
14.70,14136,0
14.72,14126,0
14.74,14127,0
14.76,14151,0
14.78,14096,0
14.80,14080,0
14.82,14072,0
14.84,14139,0
14.86,14159,0
14.88,14181,0
14.90,14144,0
14.92,14172,0
14.94,14198,0
14.96,14279,0
14.98,14305,0
14.99,14297,0
15.01,14297,0
15.03,14341,0
15.05,14409,0
15.07,14411,0
15.09,14439,0
15.11,14400,0
15.13,14448,0
15.15,14441,0
15.17,14517,0
15.19,14452,0
15.21,14393,0
15.23,14294,0
15.25,14204,0
15.27,14195,0
15.29,14141,0
15.31,14132,0
15.33,14065,0
15.35,14096,0
15.37,14137,0
15.39,14180,0
15.41,14179,0
15.43,14164,0
15.45,14190,0
15.47,14209,0
15.49,14286,0
15.51,14268,0
15.53,14255,0
15.55,14200,0
15.57,14208,0
15.59,14239,0
15.61,14209,0
15.63,14224,0
15.65,14183,0
15.67,14214,0
15.69,14212,0
15.71,14288,0
15.73,14305,0
15.75,14269,0
15.77,14306,0
15.79,14318,0
15.81,14362,0
15.82,14418,0
15.84,14412,0
15.86,14398,0
15.88,14408,0
15.90,14471,0
15.92,14498,0
15.94,14493,0
15.96,14461,0
15.98,14470,0
16.00,14448,0
16.02,14424,0
16.04,14280,0
16.06,14259,0
16.08,14152,0
16.10,14154,0
16.12,14081,0
16.14,14095,0
16.16,14097,0
16.18,14120,0
16.20,14178,0
16.22,14157,0
16.24,14249,0
16.26,14216,0
16.28,14250,0
16.30,14235,0
16.32,14265,0
16.34,14225,0
16.36,14195,0
16.38,14175,0
16.40,14233,0
16.42,14167,0
16.44,14234,0
16.46,14229,0
16.48,14251,0
16.50,14217,0
16.52,14260,0
16.54,14286,0
16.56,14301,0
16.58,14306,0
16.60,14342,0
16.62,14415,0
16.64,14378,0
16.65,14406,0
16.67,14428,0
16.69,14461,0
16.71,14454,0
16.73,14455,0
16.75,14500,0
16.77,14519,0
16.79,14544,0
16.81,14475,0
16.83,14404,0
16.85,14349,0
16.87,14276,0
16.89,14220,0
16.91,14208,0
16.93,14264,0
16.95,14232,0
16.97,14301,0
16.99,14296,0
17.01,14361,0
17.03,14334,0
17.05,14360,0
17.07,14406,0
17.09,14443,0
17.11,14423,0
17.13,14431,0
17.15,14472,0
17.17,14400,0
17.19,14453,0
17.21,14433,0
17.23,14435,0
17.25,14384,0
17.27,14436,0
17.29,14420,0
17.31,14469,0
17.33,14450,0
17.35,14535,0
17.37,14534,0
17.39,14583,0
17.41,14544,0
17.43,14572,0
17.45,14594,0
