,0
13.74,16383,0
13.76,16383,0
13.78,16383,0
13.80,16383,0
13.82,16383,0
13.84,16383,0
13.85,16383,0
13.87,16383,0
13.89,16383,0
13.91,16383,0
13.93,16383,0
13.95,16383,0
13.97,16383,0
13.99,16383,0
14.01,16383,0
14.03,16383,0
14.05,16383,0
14.07,16383,0
14.09,16383,0
14.11,16383,0
14.13,16383,0
14.15,16383,0
14.17,16383,0
14.19,16383,0
14.21,16383,0
14.23,16383,0
14.25,16383,0
14.27,16383,0
14.29,16383,0
14.31,16383,0
14.33,16383,0
14.35,16383,0
14.37,16383,0
14.39,16383,0
14.41,16383,0
14.43,16383,0
14.45,16383,0
14.47,16383,0
14.49,16383,0
14.51,16383,0
14.53,16383,0
14.55,16383,0
14.57,16383,0
14.59,16383,0
14.61,16383,0
14.63,16383,0
14.65,16383,0
14.67,16383,0
14.69,16383,0
14.70,16383,0
14.72,16383,0
14.74,16383,0
14.76,16383,0
14.78,16383,0
14.80,16383,0
14.82,16383,0
14.84,16383,0
14.86,16383,0
14.88,16383,0
14.90,16383,0
14.92,16383,0
14.94,16383,0
14.96,16383,0
14.98,16383,0
15.00,16383,0
15.02,16383,0
15.04,16383,0
15.06,16383,0
15.08,16383,0
15.10,16383,0
15.12,16383,0
15.14,16383,0
15.16,16383,0
15.18,16383,0
15.20,16383,0
15.22,16383,0
15.24,16383,0
15.26,16383,0
15.28,16383,0
15.30,16383,0
15.32,16383,0
15.34,16383,0
15.36,16383,0
15.38,16383,0
15.40,16383,0
15.42,16383,0
15.44,16383,0
15.46,16383,0
15.48,16383,0
15.50,16383,0
15.52,16383,0
15.54,16383,0
15.55,16383,0
15.57,16383,0
15.59,16383,0
15.61,16383,0
15.63,16383,0
15.65,16383,0
15.67,16383,0
15.69,16383,0
15.71,16383,0
15.73,16383,0
15.75,16383,0
15.77,16383,0
15.79,16383,0
15.81,16383,0
15.83,16383,0
15.85,16383,0
15.87,16383,0
15.89,16383,0
15.91,16383,0
15.93,16383,0
15.95,16383,0
15.97,16383,0
15.99,16383,0
16.01,16383,0
16.03,16383,0
16.05,16383,0
16.07,16383,0
16.09,16383,0
16.11,16383,0
16.13,16383,0
16.15,16383,0
16.17,16383,0
16.19,16383,0
16.21,16383,0
16.23,16383,0
16.25,16383,0
16.27,16383,0
16.29,16383,0
16.31,16383,0
16.33,16383,0
16.35,16383,0
16.37,16383,0
16.39,16383,0
16.40,16383,0
16.42,16383,0
16.44,16383,0
16.46,16383,0
16.48,16383,0
16.50,16383,0
16.52,16383,0
16.54,16383,0
16.56,16383,0
16.58,16383,0
16.60,16383,0
16.62,16383,0
16.64,16383,0
16.66,16383,0
16.68,16383,0
16.70,16383,0
16.72,16383,0
16.74,16383,0
16.76,16383,0
16.78,16383,0
16.80,16383,0
16.82,16383,0
16.84,16383,0
16.86,16383,0
16.88,16383,0
16.90,16383,0
16.92,16383,0
16.94,16383,0
16.96,16383,0
16.98,16383,0
17.00,16383,0
17.02,16383,0
17.04,16383,0
17.06,16383,0
17.08,16383,0
17.10,16383,0
17.12,16383,0
17.14,16383,0
17.16,16383,0
17.18,16383,0
17.20,16383,0
17.22,16383,0
17.24,16383,0
17.25,16383,0
17.27,16383,0
17.29,16383,0
17.31,16383,0
17.33,16383,0
17.35,16383,0
17.37,16383,0
17.39,16383,0
17.41,16383,0
17.43,16383,0
17.45,16383,0
17.47,16383,0
17.49,16383,0
17.51,16383,0
17.53,16383,0
17.55,16383,0
17.57,16383,0
17.59,16383,0
17.61,16383,0
17.63,16383,0
17.65,16383,0
17.67,16383,0
17.69,16383,0
17.71,16383,0
17.73,16383,0
17.75,16383,0
17.77,16383,0
17.79,16383,0
17.81,16383,0
17.83,16383,0
17.85,16383,0
17.87,16383,0
17.89,16383,0
17.91,16383,0
17.93,16383,0
17.95,16383,0
17.97,16383,0
17.99,16383,0
18.01,16383,0
18.03,16383,0
18.05,16383,0
18.07,16383,0
18.09,16383,0
18.10,16383,0
18.12,16383,0
18.14,16383,0
18.16,16383,0
18.18,16383,0
18.20,16383,0
18.22,16383,0
18.24,16383,0
18.26,16383,0
18.28,16383,0
18.30,16383,0
18.32,16383,0
18.34,16383,0
18.36,16383,0
18.38,16383,0
18.40,16383,0
18.42,16383,0
18.44,16383,0
18.46,16383,0
18.48,16383,0
18.50,16383,0
18.52,16383,0
18.54,16383,0
18.56,16383,0
18.58,16383,0
18.60,16383,0
18.62,16383,0
18.64,16383,0
18.66,16383,0
18.68,16383,0
18.70,16383,0
18.72,16383,0
18.74,16383,0
18.76,16383,0
18.78,16383,0
18.80,16383,0
18.82,16383,0
18.84,16383,0
18.86,16383,0
18.88,16383,0
18.90,16383,0
18.92,16383,0
18.94,16383,0
18.95,16383,0
18.97,16383,0
18.99,16383,0
19.01,16383,0
19.03,16383,0
19.05,16383,0
19.07,16383,0
19.09,16383,0
19.11,16383,0
19.13,16383,0
19.15,16383,0
19.17,16383,0
19.19,16383,0
19.21,16383,0
19.23,16383,0
19.25,16383,0
19.27,16383,0
19.29,16383,0
19.31,16383,0
19.33,16383,0
19.35,16383,0
19.37,16383,0
19.39,16383,0
19.41,16383,0
19.43,16383,0
19.45,16383,0
19.47,16383,0
19.49,16383,0
19.51,16383,0
19.53,16383,0
19.55,16383,0
19.57,16383,0
19.59,16383,0
19.61,16383,0
19.63,16383,0
19.65,16383,0
19.67,16383,0
19.69,16383,0
19.71,16383,0
19.73,16383,0
19.75,16383,0
19.77,16383,0
19.79,16383,0
19.81,16383,0
19.82,16383,0
19.84,16383,0
19.86,16383,0
19.88,16383,0
19.90,16383,0
19.92,16383,0
19.94,16383,0
19.96,16383,0
19.98,16383,0
20.00,16383,0
20.02,16383,0
20.04,16383,0
20.06,16383,0
20.08,16383,0
20.10,16383,0
20.12,16383,0
20.14,16383,0
20.16,16383,0
20.18,16383,0
20.20,16383,0
20.22,16383,0
20.24,16383,0
20.26,16383,0
20.28,16383,0
20.30,16383,0
20.32,16383,0
20.34,16383,0
20.36,16383,0
20.38,16383,0
20.40,16383,0
20.42,16383,0
20.44,16383,0
20.46,16383,0
20.48,16383,0
20.50,16383,0
20.52,16383,0
20.54,16383,0
20.56,16383,0
20.58,16383,0
20.60,16383,0
20.62,16383,0
20.64,16383,0
20.65,16383,0
20.67,16383,0
20.69,16383,0
20.71,16383,0
20.73,16383,0
20.75,16383,0
20.77,16383,0
20.79,16383,0
20.81,16383,0
20.83,16383,0
20.85,16383,0
20.87,16383,0
20.89,16383,0
20.91,16383,0
20.93,16383,0
20.95,16383,0
20.97,16383,0
20.99,16383,0
21.01,16383,0
21.03,16383,0
21.05,16383,0
21.07,16383,0
21.09,16383,0
21.11,16383,0
21.13,16383,0
21.15,16383,0
21.17,16383,0
21.19,16383,0
21.21,16383,0
21.23,16383,0
21.25,16383,0
21.27,16383,0
21.29,16383,0
21.31,16383,0
21.33,16383,0
21.35,16383,0
21.37,16383,0
21.39,16383,0
21.41,16383,0
21.43,16383,0
21.45,16383,0
21.47,16383,0
21.49,16383,0
21.50,16383,0
