96,0
18.99,10605,0
19.01,10620,0
19.03,10632,0
19.05,10648,0
19.07,10664,0
19.09,10681,0
19.11,10691,0
19.13,10708,0
19.15,10722,0
19.17,10727,0
19.19,10738,0
19.21,10742,0
19.23,10749,0
19.25,10754,0
19.27,10762,0
19.29,10767,0
19.31,10767,0
19.33,10781,0
19.35,10787,0
19.37,10795,0
19.38,10799,0
19.40,10791,0
19.42,10744,0
19.44,10677,0
19.46,10608,0
19.48,10561,0
19.50,10527,0
19.52,10507,0
19.54,10508,0
19.56,10510,0
19.58,10527,0
19.60,10542,0
19.62,10564,0
19.64,10583,0
19.66,10606,0
19.68,10615,0
19.70,10616,0
19.72,10609,0
19.74,10601,0
19.76,10595,0
19.78,10584,0
19.80,10583,0
19.82,10584,0
19.84,10593,0
19.86,10602,0
19.88,10618,0
19.90,10629,0
19.92,10642,0
19.94,10662,0
19.96,10676,0
19.98,10694,0
20.00,10713,0
20.02,10722,0
20.04,10737,0
20.06,10750,0
20.08,10765,0
20.10,10781,0
20.12,10793,0
20.14,10802,0
20.15,10813,0
20.17,10826,0
20.19,10835,0
20.21,10852,0
20.23,10860,0
20.25,10867,0
20.27,10848,0
20.29,10804,0
20.31,10734,0
20.33,10661,0
20.35,10610,0
20.37,10574,0
20.39,10564,0
20.41,10559,0
20.43,10567,0
20.45,10577,0
20.47,10600,0
20.49,10615,0
20.51,10633,0
20.53,10649,0
20.55,10663,0
20.57,10664,0
20.59,10652,0
20.61,10633,0
20.63,10614,0
20.65,10606,0
20.67,10603,0
20.69,10605,0
20.71,10603,0
20.73,10613,0
20.75,10623,0
20.77,10639,0
20.79,10651,0
20.81,10667,0
20.83,10673,0
20.85,10696,0
20.87,10703,0
20.89,10714,0
20.91,10729,0
20.92,10738,0
20.94,10750,0
20.96,10757,0
20.98,10771,0
21.00,10777,0
21.02,10782,0
21.04,10795,0
21.06,10808,0
21.08,10813,0
21.10,10818,0
21.12,10800,0
21.14,10749,0
21.16,10679,0
21.18,10594,0
21.20,10531,0
21.22,10496,0
21.24,10470,0
21.26,10466,0
21.28,10471,0
21.30,10484,0
21.32,10500,0
21.34,10521,0
21.36,10537,0
