9,0
24.26,14084,0
24.28,14166,0
24.30,14101,0
24.32,14139,0
24.34,14086,0
24.36,14126,0
24.37,14088,0
24.39,14190,0
24.41,14134,0
24.43,14106,0
24.45,14112,0
24.47,14116,0
24.49,14125,0
24.51,14192,0
24.53,14137,0
24.55,14214,0
24.57,14134,0
24.59,14150,0
24.61,14145,0
24.63,14160,0
24.65,14245,0
24.67,14167,0
24.69,14258,0
24.71,14174,0
24.73,14243,0
24.75,14200,0
24.77,14224,0
24.79,14199,0
24.81,14216,0
24.83,14292,0
24.85,14262,0
24.87,14229,0
24.89,14238,0
24.91,14242,0
24.93,14268,0
24.95,14246,0
24.97,14342,0
24.99,14325,0
25.01,14328,0
25.03,14259,0
25.05,14353,0
25.07,14291,0
25.09,14268,0
25.11,14322,0
25.13,14267,0
25.15,14284,0
25.17,14299,0
25.18,14414,0
25.20,14335,0
25.22,14422,0
25.24,14346,0
25.26,14443,0
25.28,14343,0
25.30,14350,0
25.32,14352,0
25.34,14394,0
25.36,14445,0
25.38,14419,0
25.40,14351,0
25.42,14369,0
25.44,14386,0
25.46,14473,0
25.48,14442,0
25.50,14394,0
25.52,14405,0
25.54,14426,0
25.56,14486,0
25.58,14427,0
25.60,14518,0
25.62,14440,0
25.64,14523,0
25.66,14445,0
25.68,14457,0
25.70,14469,0
25.72,14540,0
25.74,14466,0
25.76,14527,0
25.78,14490,0
25.80,14533,0
25.82,14494,0
25.84,14499,0
25.86,14570,0
25.88,14486,0
25.90,14491,0
25.92,14496,0
25.94,14585,0
25.96,14505,0
25.98,14588,0
26.00,14529,0
26.01,14576,0
26.03,14501,0
26.05,14505,0
26.07,14502,0
26.09,14597,0
26.11,14530,0
26.13,14604,0
26.15,14539,0
26.17,14630,0
26.19,14542,0
26.21,14544,0
26.23,14579,0
26.25,14597,0
26.27,14549,0
26.29,14559,0
26.31,14647,0
26.33,14556,0
26.35,14614,0
26.37,14641,0
26.39,14647,0
26.41,14552,0
26.43,14566,0
26.45,14564,0
26.47,14617,0
26.49,14556,0
26.51,14636,0
26.53,14650,0
26.55,14614,0
26.57,14570,0
26.59,14639,0
26.61,14626,0
26.63,14557,0
26.65,14596,0
26.67,14554,0
26.69,14560,0
26.71,14556,0
26.73,14643,0
26.75,14649,0
26.77,14589,0
26.79,14570,0
26.81,14655,0
26.83,14646,0
26.84,14574,0
26.86,14654,0
26.88,14576,0
26.90,14570,0
26.92,14606,0
26.94,14634,0
26.96,14576,0
26.98,14598,0
27.00,14622,0
27.02,14605,0
27.04,14590,0
27.06,14591,0
27.08,14638,0
27.10,14591,0
27.12,14586,0
27.14,14581,0
27.16,14628,0
27.18,14583,0
27.20,14628,0
27.22,14611,0
27.24,14587,0
27.26,14605,0
27.28,14586,0
27.30,14592,0
27.32,14599,0
27.34,14593,0
27.36,14589,0
27.38,14589,0
27.40,14643,0
27.42,14595,0
27.44,14591,0
27.46,14611,0
27.48,14596,0
27.50,14624,0
27.52,14608,0
27.54,14596,0
27.56,14672,0
27.58,14604,0
27.60,14602,0
27.62,14663,0
27.64,14601,0
27.66,14646,0
27.67,14627,0
27.69,14607,0
27.71,14695,0
27.73,14612,0
27.75,14614,0
27.77,14699,0
27.79,14619,0
27.81,14641,0
27.83,14684,0
27.85,14609,0
27.87,14655,0
27.89,14614,0
27.91,14613,0
27.93,14638,0
27.95,14617,0
27.97,14618,0
