836,0
7.86,9836,0
7.88,9835,0
7.90,9833,0
7.92,9832,0
7.94,9836,0
7.96,9834,0
7.98,9835,0
8.00,9832,0
8.02,9831,0
8.04,9833,0
8.06,9833,0
8.08,9832,0
8.10,9833,0
8.12,9834,0
8.14,9831,0
8.16,9830,0
8.17,9832,0
8.19,9833,0
8.21,9833,0
8.23,9832,0
8.25,9830,0
8.27,9828,0
8.29,9833,0
8.31,9828,0
8.33,9828,0
8.35,9831,0
8.37,9831,0
8.39,9834,0
8.41,9833,0
8.43,9829,0
8.45,9831,0
8.47,9830,0
8.49,9830,0
8.51,9832,0
8.53,9837,0
8.55,9836,0
8.57,9831,0
8.59,9832,0
8.61,9835,0
8.63,9835,0
8.65,9831,0
8.67,9832,0
8.69,9832,0
8.71,9834,0
8.73,9831,0
8.75,9831,0
8.77,9832,0
8.79,9829,0
8.81,9829,0
8.83,9830,0
8.85,9829,0
8.87,9828,0
8.89,9827,0
8.91,9825,0
8.93,9826,0
8.95,9829,0
8.97,9826,0
8.99,9827,0
9.01,9827,0
9.03,9826,0
9.05,9828,0
9.07,9828,0
9.09,9826,0
9.11,9827,0
9.13,9830,0
9.15,9832,0
9.17,9825,0
9.19,9824,0
9.21,9827,0
9.22,9826,0
9.24,9827,0
9.26,9825,0
9.28,9827,0
9.30,9826,0
9.32,9825,0
9.34,9823,0
9.36,9827,0
9.38,9823,0
9.40,9826,0
9.42,9825,0
9.44,9826,0
9.46,9826,0
9.48,9824,0
9.50,9823,0
9.52,9828,0
9.54,9827,0
9.56,9834,0
9.58,9834,0
9.60,9833,0
9.62,9835,0
9.64,9833,0
9.66,9832,0
9.68,9832,0
9.70,9831,0
9.72,9835,0
9.74,9835,0
9.76,9838,0
9.78,9836,0
9.80,9836,0
9.82,9835,0
9.84,9838,0
9.86,9839,0
9.88,9837,0
9.90,9841,0
9.92,9842,0
9.94,9836,0
9.96,9838,0
9.98,9837,0
10.00,9842,0
10.02,9838,0
10.04,9833,0
10.06,9840,0
10.08,9837,0
10.10,9840,0
10.12,9839,0
10.14,9836,0
10.16,9840,0
10.18,9838,0
10.20,9839,0
10.22,9833,0
10.23,9837,0
10.25,9832,0
10.27,9834,0
10.29,9832,0
10.31,9837,0
10.33,9834,0
10.35,9829,0
10.37,9829,0
10.39,9831,0
10.41,9831,0
10.43,9831,0
10.45,9832,0
10.47,9829,0
10.49,9835,0
10.51,9833,0
10.53,9833,0
10.55,9831,0
10.57,9832,0
10.59,9830,0
10.61,9832,0
10.63,9829,0
10.65,9829,0
10.67,9829,0
10.69,9828,0
10.71,9822,0
10.73,9827,0
10.75,9823,0
10.77,9825,0
10.79,9821,0
10.81,9820,0
10.83,9821,0
10.85,9821,0
10.87,9820,0
10.89,9817,0
10.91,9819,0
10.93,9820,0
10.95,9821,0
10.97,9816,0
10.99,9820,0
11.01,9820,0
11.03,9823,0
11.05,9825,0
11.07,9819,0
11.09,9819,0
11.11,9820,0
11.13,9821,0
11.15,9821,0
11.17,9818,0
11.19,9823,0
11.21,9824,0
11.23,9821,0
11.25,9821,0
11.27,9818,0
11.28,9819,0
11.30,9818,0
11.32,9821,0
11.34,9822,0
11.36,9821,0
11.38,9821,0
11.40,9822,0
11.42,9822,0
11.44,9817,0
11.46,9816,0
11.48,9820,0
11.50,9821,0
11.52,9820,0
11.54,9816,0
11.56,9824,0
11.58,9817,0
11.60,9818,0
11.62,9819,0
11.64,9815,0
11.66,9815,0
11.68,9815,0
11.70,9817,0
11.72,9816,0
11.74,9816,0
11.76,9809,0
11.78,9811,0
11.80,9810,0
11.82,9813,0
11.84,9814,0
11.86,9807,0
11.88,9808,0
11.90,9804,0
11.92,9805,0
11.94,9802,0
11.96,9799,0
11.98,9797,0
12.00,9794,0
12.02,9789,0
12.04,9794,0
12.06,9791,0
12.08,9790,0
12.10,9791,0
12.12,9785,0
12.14,9787,0
12.16,9791,0
12.18,9791,0
12.20,9791,0
12.22,9791,0
12.24,9798,0
12.26,9799,0
12.28,9795,0
12.30,9802,0
12.31,9795,0
12.33,9798,0
12.35,9801,0
12.37,9800,0
12.39,9798,0
12.41,9799,0
12.43,9802,0
12.45,9799,0
12.47,9800,0
12.49,9803,0
12.51,9803,0
12.53,9802,0
12.55,9802,0
12.57,9802,0
12.59,9805,0
12.61,9803,0
12.63,9807,0
12.65,9806,0
12.67,9807,0
12.69,9807,0
12.71,9810,0
12.73,9803,0
12.75,9802,0
12.77,9809,0
12.79,9810,0
12.81,9807,0
12.83,9809,0
12.85,9810,0
12.87,9806,0
12.89,9809,0
12.91,9810,0
12.93,9806,0
12.95,9804,0
12.97,9806,0
12.99,9805,0
13.01,9804,0
13.03,9804,0
13.05,9806,0
13.07,9804,0
13.09,9806,0
13.11,9805,0
13.13,9801,0
13.15,9806,0
13.17,9803,0
13.19,9803,0
13.21,9798,0
13.23,9802,0
13.25,9800,0
13.27,9800,0
13.29,9800,0
13.31,9800,0
13.33,9800,0
13.34,9802,0
13.36,9800,0
13.38,9799,0
13.40,9804,0
13.42,9800,0
13.44,9794,0
13.46,9798,0
13.48,9797,0
13.50,9797,0
13.52,9801,0
13.54,9797,0
13.56,9799,0
13.58,9801,0
13.60,9800,0
13.62,9797,0
13.64,9798,0
13.66,9799,0
13.68,9800,0
13.70,9800,0
13.72,9796,0
13.74,9805,0
13.76,9802,0
13.78,9802,0
13.80,9797,0
13.82,9802,0
13.84,9804,0
13.86,9801,0
13.88,9801,0
