021,0
408.21,14990,0
408.23,15000,0
408.25,14980,0
408.27,14944,0
408.29,14952,0
408.31,14938,0
408.33,14922,0
408.35,14923,0
408.37,14900,0
408.39,14928,0
408.41,14966,0
408.43,15008,0
408.45,15015,0
408.47,15058,0
408.49,15096,0
408.51,15130,0
408.53,15186,0
408.55,15201,0
408.57,15221,0
408.59,15242,0
408.61,15263,0
408.63,15265,0
408.65,15268,0
408.67,15296,0
408.69,15324,0
408.71,15324,0
408.73,15340,0
408.75,15348,0
408.77,15392,0
408.79,15411,0
408.81,15400,0
408.83,15425,0
408.85,15446,0
408.87,15488,0
408.89,15503,0
408.91,15467,0
408.93,15488,0
408.94,15492,0
408.96,15470,0
408.98,15472,0
409.00,15473,0
409.02,15493,0
409.04,15490,0
409.06,15495,0
409.08,15507,0
409.10,15527,0
409.12,15573,0
409.14,15559,0
409.16,15577,0
409.18,15583,0
409.20,15606,0
409.22,15637,0
409.24,15641,0
409.26,15649,0
409.28,15645,0
409.30,15683,0
409.32,15685,0
409.34,15675,0
409.36,15666,0
409.38,15663,0
409.40,15675,0
409.42,15702,0
409.44,15710,0
409.46,15749,0
409.48,15760,0
409.50,15811,0
409.52,15811,0
409.54,15850,0
409.56,15876,0
409.58,15910,0
409.60,15896,0
409.62,15919,0
409.64,15933,0
409.66,15964,0
409.68,15982,0
409.70,16012,0
409.72,16005,0
409.74,16038,0
409.76,16016,0
409.77,16034,0
409.79,16021,0
409.81,16047,0
409.83,16028,0
409.85,16033,0
409.87,16038,0
409.89,16067,0
409.91,16068,0
409.93,16070,0
409.95,16051,0
409.97,16067,0
409.99,16052,0
410.01,16040,0
410.03,16036,0
410.05,16051,0
410.07,16057,0
410.09,16054,0
410.11,16025,0
410.13,16000,0
410.15,15988,0
410.17,15980,0
410.19,15983,0
410.21,16016,0
410.23,16035,0
410.25,16057,0
410.27,16031,0
410.29,16036,0
410.31,16044,0
410.33,16060,0
410.35,16072,0
410.37,16092,0
410.39,16119,0
410.41,16113,0
410.43,16120,0
410.45,16130,0
410.47,16146,0
410.49,16168,0
410.51,16201,0
410.53,16206,0
410.55,16195,0
410.57,16170,0
410.59,16152,0
410.61,16128,0
410.62,16112,0
410.64,16099,0
410.66,16136,0
410.68,16118,0
410.70,16159,0
410.72,16145,0
410.74,16178,0
410.76,16191,0
410.78,16215,0
410.80,16222,0
410.82,16242,0
410.84,16245,0
410.86,16254,0
410.88,16258,0
410.90,16275,0
410.92,16287,0
410.94,16289,0
410.96,16270,0
410.98,16289,0
411.00,16299,0
411.02,16332,0
411.04,16332,0
411.06,16377,0
411.08,16383,0
411.10,16383,0
411.12,16383,0
411.14,16383,0
411.16,16383,0
411.18,16383,0
411.20,16383,0
411.22,16383,0
411.24,16383,0
411.26,16383,0
411.28,16383,0
411.30,16383,0
411.32,16383,0
411.34,16383,0
411.36,16383,0
411.38,16383,0
411.40,16383,0
411.42,16383,0
411.44,16383,0
411.46,16383,0
411.47,16383,0
411.49,16383,0
411.51,16383,0
411.53,16383,0
411.55,16383,0
411.57,16383,0
411.59,16383,0
411.61,16383,0
411.63,16383,0
411.65,16383,0
411.67,16383,0
411.69,16383,0
411.71,16383,0
411.73,16383,0
411.75,16383,0
411.77,16383,0
411.79,16383,0
411.81,16383,0
411.83,16383,0
411.85,16383,0
411.87,16383,0
411.89,16383,0
411.91,16383,0
411.93,16383,0
411.95,16383,0
411.97,16383,0
411.99,16383,0
412.01,16383,0
412.03,16383,0
412.05,16383,0
412.07,16383,0
412.09,16383,0
412.11,16383,0
412.13,16383,0
412.15,16383,0
412.17,16383,0
412.19,16383,0
412.21,16383,0
412.23,16383,0
412.25,16383,0
412.27,16383,0
412.29,16383,0
412.30,16383,0
412.32,16383,0
412.34,16383,0
412.36,16383,0
412.38,16383,0
412.40,16383,0
412.42,16383,0
412.44,16383,0
412.46,16383,0
412.48,16383,0
412.50,16383,0
412.52,16383,0
412.54,16383,0
412.56,16383,0
412.58,16383,0
412.60,16383,0
412.62,16383,0
412.64,16383,0
412.66,16383,0
412.68,16383,0
412.70,16383,0
412.72,16383,0
412.74,16383,0
412.76,16383,0
412.78,16383,0
412.80,16383,0
412.82,16383,0
412.84,16383,0
412.86,16383,0
412.88,16383,0
412.90,16383,0
412.92,16383,0
412.94,16383,0
412.96,16383,0
412.98,16383,0
413.00,16383,0
413.02,16383,0
413.04,16383,0
