,0
33.24,10887,0
33.26,10885,0
33.28,10882,0
33.30,10881,0
33.32,10894,0
33.34,10877,0
33.36,10885,0
33.38,10900,0
33.40,10888,0
33.42,10898,0
33.44,10882,0
33.46,10893,0
33.48,10875,0
33.50,10868,0
33.52,10877,0
33.53,10869,0
33.55,10856,0
33.57,10864,0
33.59,10871,0
33.61,10856,0
33.63,10854,0
33.65,10836,0
33.67,10858,0
33.69,10856,0
33.71,10839,0
33.73,10856,0
33.75,10854,0
33.77,10858,0
33.79,10855,0
33.81,10854,0
33.83,10872,0
33.85,10867,0
33.87,10855,0
33.89,10876,0
33.91,10882,0
33.93,10871,0
33.95,10871,0
33.97,10893,0
33.99,10866,0
34.01,10860,0
34.03,10858,0
34.05,10857,0
34.07,10853,0
34.09,10850,0
34.11,10852,0
34.13,10875,0
34.15,10858,0
34.17,10862,0
34.19,10879,0
34.21,10881,0
34.23,10877,0
34.25,10880,0
34.27,10877,0
34.29,10881,0
34.31,10865,0
34.33,10862,0
34.35,10886,0
34.37,10854,0
34.39,10856,0
34.41,10874,0
34.43,10866,0
34.45,10846,0
34.46,10859,0
34.48,10865,0
34.50,10842,0
34.52,10843,0
34.54,10842,0
34.56,10858,0
34.58,10842,0
34.60,10832,0
34.62,10838,0
34.64,10849,0
34.66,10834,0
34.68,10841,0
34.70,10855,0
34.72,10861,0
34.74,10835,0
34.76,10829,0
34.78,10828,0
34.80,10826,0
34.82,10824,0
34.84,10810,0
34.86,10809,0
34.88,10819,0
34.90,10811,0
34.92,10814,0
34.94,10824,0
34.96,10827,0
34.98,10845,0
35.00,10864,0
35.02,10864,0
35.04,10854,0
35.06,10854,0
35.08,10851,0
35.10,10848,0
35.12,10842,0
35.14,10818,0
35.16,10810,0
35.18,10817,0
35.20,10815,0
35.22,10801,0
35.24,10798,0
35.26,10817,0
35.28,10804,0
35.30,10803,0
35.32,10805,0
35.34,10808,0
35.36,10833,0
35.38,10808,0
35.39,10803,0
35.41,10800,0
35.43,10793,0
35.45,10805,0
35.47,10794,0
35.49,10790,0
35.51,10795,0
35.53,10784,0
35.55,10790,0
35.57,10787,0
35.59,10801,0
35.61,10806,0
35.63,10812,0
35.65,10812,0
35.67,10787,0
35.69,10807,0
35.71,10811,0
35.73,10814,0
35.75,10791,0
35.77,10789,0
35.79,10788,0
35.81,10784,0
35.83,10802,0
35.85,10780,0
35.87,10782,0
35.89,10761,0
35.91,10767,0
35.93,10756,0
35.95,10744,0
35.97,10724,0
35.99,10704,0
36.01,10705,0
36.03,10712,0
36.05,10736,0
36.07,10716,0
36.09,10722,0
36.11,10728,0
36.13,10725,0
36.15,10747,0
36.17,10734,0
36.19,10742,0
36.21,10720,0
36.23,10741,0
36.25,10742,0
36.27,10727,0
36.29,10725,0
36.31,10738,0
36.33,10720,0
36.34,10717,0
36.36,10723,0
36.38,10716,0
36.40,10722,0
36.42,10729,0
36.44,10736,0
36.46,10747,0
36.48,10752,0
36.50,10757,0
36.52,10777,0
36.54,10758,0
36.56,10758,0
36.58,10764,0
36.60,10763,0
36.62,10756,0
36.64,10753,0
36.66,10756,0
36.68,10778,0
36.70,10765,0
36.72,10772,0
36.74,10784,0
36.76,10785,0
36.78,10792,0
36.80,10798,0
36.82,10805,0
36.84,10827,0
36.86,10815,0
36.88,10814,0
36.90,10825,0
36.92,10808,0
36.94,10810,0
36.96,10808,0
36.98,10815,0
37.00,10827,0
37.02,10810,0
37.04,10806,0
37.06,10820,0
37.08,10799,0
37.10,10803,0
37.12,10822,0
37.14,10827,0
37.16,10820,0
37.18,10818,0
37.20,10816,0
37.22,10840,0
37.24,10817,0
37.26,10817,0
37.27,10813,0
37.29,10813,0
37.31,10810,0
37.33,10806,0
37.35,10803,0
37.37,10815,0
37.39,10792,0
37.41,10793,0
37.43,10807,0
37.45,10812,0
37.47,10815,0
37.49,10826,0
37.51,10831,0
37.53,10842,0
37.55,10841,0
37.57,10852,0
37.59,10860,0
37.61,10843,0
37.63,10822,0
37.65,10841,0
37.67,10842,0
37.69,10815,0
37.71,10840,0
37.73,10832,0
37.75,10807,0
37.77,10814,0
37.79,10821,0
37.81,10798,0
37.83,10794,0
37.85,10809,0
37.87,10790,0
37.89,10786,0
37.91,10784,0
37.93,10780,0
37.95,10785,0
37.97,10788,0
37.99,10808,0
38.01,10794,0
38.03,10825,0
