13707,0
180.68,13710,0
180.70,13720,0
180.72,13712,0
180.74,13720,0
180.76,13718,0
180.78,13716,0
180.80,13723,0
180.82,13724,0
180.84,13733,0
180.86,13736,0
180.88,13739,0
180.90,13736,0
180.92,13738,0
180.94,13739,0
180.96,13738,0
180.98,13729,0
181.00,13736,0
181.02,13730,0
181.04,13732,0
181.06,13725,0
181.08,13731,0
181.10,13725,0
181.12,13719,0
181.14,13721,0
181.16,13714,0
181.18,13710,0
181.20,13708,0
181.22,13708,0
181.24,13701,0
181.26,13702,0
181.28,13704,0
181.30,13709,0
181.32,13704,0
181.34,13711,0
181.36,13703,0
181.38,13705,0
181.40,13705,0
181.42,13716,0
181.43,13703,0
181.45,13700,0
181.47,13711,0
181.49,13704,0
181.51,13704,0
181.53,13704,0
181.55,13696,0
181.57,13696,0
181.59,13695,0
181.61,13692,0
181.63,13682,0
181.65,13657,0
181.67,13613,0
181.69,13545,0
181.71,13480,0
181.73,13440,0
181.75,13382,0
181.77,13342,0
181.79,13322,0
181.81,13307,0
181.83,13311,0
181.85,13305,0
181.87,13321,0
181.89,13348,0
181.91,13378,0
181.93,13414,0
181.95,13442,0
181.97,13465,0
181.99,13477,0
182.01,13499,0
182.03,13519,0
182.05,13531,0
182.07,13540,0
182.09,13558,0
182.11,13576,0
182.13,13584,0
182.15,13591,0
182.17,13603,0
182.19,13607,0
182.21,13619,0
182.22,13630,0
182.24,13644,0
182.26,13645,0
182.28,13659,0
182.30,13662,0
182.32,13668,0
182.34,13674,0
182.36,13688,0
182.38,13704,0
182.40,13723,0
182.42,13731,0
182.44,13750,0
182.46,13764,0
182.48,13778,0
182.50,13782,0
182.52,13770,0
182.54,13757,0
182.56,13751,0
182.58,13767,0
182.60,13790,0
182.62,13819,0
182.64,13848,0
182.66,13874,0
182.68,13898,0
182.70,13916,0
182.72,13944,0
182.74,13958,0
182.76,13981,0
182.78,13992,0
182.80,14002,0
182.82,14017,0
182.84,14037,0
182.86,14048,0
182.88,14060,0
182.90,14077,0
182.92,14081,0
182.94,14090,0
182.96,14103,0
182.98,14113,0
