20,0
122.73,9722,0
122.75,9715,0
122.77,9717,0
122.79,9725,0
122.81,9720,0
122.82,9721,0
122.84,9718,0
122.86,9721,0
122.88,9720,0
122.90,9718,0
122.92,9716,0
122.94,9716,0
122.96,9713,0
122.98,9714,0
123.00,9715,0
123.02,9716,0
123.04,9717,0
123.06,9713,0
123.08,9711,0
123.10,9713,0
123.12,9712,0
123.14,9711,0
123.16,9710,0
123.18,9714,0
123.20,9708,0
123.22,9711,0
123.24,9715,0
123.26,9723,0
123.28,9714,0
123.30,9728,0
123.32,9739,0
123.34,9753,0
123.36,9763,0
123.38,9763,0
123.40,9765,0
123.42,9770,0
123.44,9780,0
123.46,9791,0
123.48,9798,0
123.50,9794,0
123.52,9786,0
123.54,9783,0
123.56,9786,0
123.58,9777,0
123.60,9766,0
123.62,9760,0
123.64,9750,0
123.66,9748,0
123.68,9746,0
123.70,9746,0
123.72,9748,0
123.74,9745,0
123.76,9740,0
123.78,9739,0
123.80,9745,0
123.81,9738,0
123.83,9733,0
123.85,9725,0
123.87,9727,0
123.89,9724,0
123.91,9734,0
123.93,9731,0
123.95,9728,0
123.97,9732,0
123.99,9732,0
124.01,9735,0
124.03,9736,0
124.05,9742,0
124.07,9745,0
124.09,9748,0
124.11,9748,0
124.13,9751,0
124.15,9749,0
124.17,9755,0
124.19,9755,0
124.21,9761,0
124.23,9763,0
124.25,9759,0
124.27,9760,0
124.29,9768,0
124.31,9761,0
124.33,9765,0
124.35,9757,0
124.37,9760,0
124.39,9759,0
124.41,9763,0
124.43,9759,0
124.45,9764,0
124.47,9757,0
124.49,9758,0
124.51,9760,0
124.53,9761,0
124.55,9763,0
124.57,9763,0
124.59,9765,0
124.61,9767,0
124.63,9764,0
124.65,9765,0
124.67,9766,0
124.69,9769,0
124.71,9769,0
124.73,9768,0
124.75,9763,0
124.77,9760,0
124.78,9761,0
124.80,9763,0
124.82,9765,0
124.84,9767,0
124.86,9764,0
124.88,9765,0
124.90,9767,0
124.92,9766,0
124.94,9770,0
124.96,9779,0
124.98,9782,0
125.00,9778,0
125.02,9781,0
125.04,9778,0
125.06,9784,0
125.08,9786,0
125.10,9779,0
125.12,9780,0
125.14,9783,0
125.16,9784,0
125.18,9790,0
125.20,9799,0
125.22,9800,0
125.24,9803,0
125.26,9811,0
125.28,9828,0
125.30,9844,0
125.32,9859,0
125.34,9875,0
125.36,9887,0
125.38,9894,0
125.40,9902,0
125.42,9902,0
125.44,9896,0
125.46,9877,0
125.48,9870,0
125.50,9857,0
125.52,9862,0
125.54,9859,0
125.56,9861,0
125.58,9857,0
125.60,9859,0
125.62,9856,0
125.64,9859,0
125.66,9855,0
125.68,9852,0
125.70,9851,0
125.72,9848,0
125.74,9850,0
125.75,9850,0
125.77,9846,0
125.79,9853,0
125.81,9851,0
125.83,9847,0
125.85,9844,0
125.87,9845,0
125.89,9848,0
125.91,9847,0
125.93,9846,0
125.95,9850,0
125.97,9848,0
125.99,9843,0
126.01,9843,0
126.03,9845,0
126.05,9845,0
126.07,9849,0
126.09,9845,0
126.11,9840,0
126.13,9837,0
126.15,9833,0
126.17,9830,0
126.19,9834,0
126.21,9831,0
126.23,9831,0
126.25,9833,0
126.27,9834,0
126.29,9837,0
126.31,9837,0
126.33,9844,0
126.35,9841,0
126.37,9844,0
126.39,9851,0
126.41,9846,0
126.43,9847,0
126.45,9846,0
126.47,9845,0
126.49,9843,0
126.51,9842,0
126.53,9839,0
126.55,9842,0
126.57,9839,0
126.59,9841,0
126.61,9842,0
126.63,9849,0
126.65,9851,0
126.67,9853,0
126.69,9857,0
126.71,9859,0
126.73,9859,0
126.74,9862,0
126.76,9861,0
126.78,9859,0
126.80,9857,0
126.82,9855,0
126.84,9859,0
126.86,9865,0
126.88,9861,0
126.90,9859,0
126.92,9862,0
126.94,9864,0
126.96,9867,0
126.98,9859,0
127.00,9852,0
127.02,9850,0
127.04,9855,0
127.06,9861,0
127.08,9872,0
127.10,9865,0
127.12,9867,0
127.14,9866,0
127.16,9865,0
127.18,9869,0
127.20,9870,0
127.22,9872,0
127.24,9878,0
127.26,9880,0
127.28,9879,0
127.30,9870,0
127.32,9869,0
127.34,9867,0
127.36,9867,0
127.38,9861,0
127.40,9859,0
127.42,9867,0
127.44,9864,0
127.46,9862,0
127.48,9860,0
127.50,9856,0
127.52,9856,0
127.54,9856,0
127.56,9861,0
127.58,9858,0
127.60,9850,0
127.62,9845,0
127.64,9846,0
127.66,9848,0
127.68,9850,0
127.70,9851,0
127.71,9846,0
127.73,9844,0
127.75,9838,0
127.77,9836,0
127.79,9835,0
127.81,9831,0
127.83,9825,0
127.85,9827,0
127.87,9820,0
127.89,9822,0
127.91,9824,0
127.93,9814,0
127.95,9809,0
127.97,9802,0
127.99,9803,0
128.01,9802,0
128.03,9802,0
128.05,9800,0
128.07,9800,0
128.09,9801,0
128.11,9800,0
128.13,9808,0
128.15,9814,0
128.17,9819,0
128.19,9819,0
128.21,9825,0
128.23,9829,0
128.25,9825,0
128.27,9827,0
128.29,9820,0
128.31,9822,0
128.33,9823,0
128.35,9828,0
128.37,9829,0
128.39,9829,0
128.41,9837,0
128.43,9847,0
128.45,9857,0
128.47,9864,0
128.49,9869,0
128.51,9871,0
128.53,9871,0
128.55,9872,0
128.57,9869,0
128.59,9866,0
128.61,9873,0
128.63,9880,0
128.65,9883,0
128.67,9883,0
128.68,9886,0
128.70,9880,0
128.72,9884,0
128.74,9883,0
128.76,9886,0
128.78,9889,0
128.80,9894,0
128.82,9891,0
128.84,9887,0
128.86,9887,0
128.88,9888,0
128.90,9883,0
128.92,9887,0
128.94,9883,0
128.96,9881,0
128.98,9878,0
129.00,9878,0
129.02,9873,0
129.04,9880,0
129.06,9881,0
129.08,9879,0
129.10,9875,0
129.12,9875,0
129.14,9875,0
129.16,9875,0
129.18,9879,0
129.20,9873,0
129.22,9877,0
129.24,9874,0
129.26,9871,0
129.28,9873,0
129.30,9870,0
129.32,9869,0
129.34,9876,0
129.36,9876,0
129.38,9868,0
129.40,9870,0
129.42,9871,0
129.44,9867,0
129.46,9871,0
129.48,9874,0
129.50,9869,0
129.52,9870,0
129.54,9868,0
129.56,9865,0
129.58,9860,0
129.60,9865,0
129.62,9867,0
129.64,9865,0
129.65,9867,0
129.67,9865,0
129.69,9862,0
129.71,9862,0
129.73,9867,0
129.75,9865,0
129.77,9869,0
129.79,9868,0
129.81,9865,0
129.83,9861,0
129.85,9862,0
129.87,9862,0
129.89,9866,0
129.91,9863,0
129.93,9861,0
129.95,9858,0
129.97,9860,0
129.99,9861,0
130.01,9860,0
130.03,9861,0
130.05,9863,0
130.07,9860,0
130.09,9856,0
130.11,9861,0
130.13,9863,0
130.15,9862,0
130.17,9865,0
130.19,9859,0
130.21,9858,0
130.23,9860,0
130.25,9861,0
130.27,9863,0
130.29,9864,0
130.31,9858,0
130.33,9861,0
130.35,9861,0
130.37,9860,0
130.39,9863,0
130.41,9860,0
130.43,9857,0
130.45,9853,0
130.47,9855,0
130.49,9855,0
130.51,9852,0
130.53,9855,0
130.55,9855,0
130.57,9854,0
130.59,9854,0
130.61,9852,0
130.63,9859,0
130.64,9862,0
130.66,9859,0
130.68,9863,0
130.70,9862,0
130.72,9862,0
130.74,9859,0
130.76,9858,0
130.78,9859,0
130.80,9856,0
130.82,9857,0
130.84,9863,0
130.86,9859,0
130.88,9858,0
130.90,9858,0
130.92,9863,0
130.94,9863,0
130.96,9864,0
130.98,9856,0
131.00,9854,0
131.02,9847,0
131.04,9851,0
131.06,9848,0
131.08,9847,0
131.10,9849,0
131.12,9846,0
131.14,9838,0
131.16,9839,0
131.18,9838,0
131.20,9842,0
131.22,9840,0
131.24,9842,0
131.26,9841,0
131.28,9851,0
131.30,9857,0
131.32,9864,0
131.34,9868,0
131.36,9872,0
131.38,9872,0
131.40,9880,0
131.42,9891,0
131.44,9908,0
131.46,9911,0
131.48,9910,0
131.50,9906,0
131.52,9909,0
131.54,9912,0
131.56,9921,0
131.58,9935,0
131.60,9956,0
131.61,9980,0
131.63,9993,0
131.65,9994,0
131.67,9989,0
131.69,9983,0
131.71,9983,0
131.73,9988,0
131.75,9991,0
131.77,9994,0
131.79,9993,0
131.81,9991,0
131.83,9992,0
131.85,9987,0
131.87,9989,0
131.89,9994,0
131.91,9999,0
131.93,10006,0
131.95,10012,0
131.97,10015,0
131.99,10019,0
132.01,10020,0
132.03,10019,0
132.05,10018,0
132.07,10023,0
132.09,10025,0
132.11,10025,0
132.13,10029,0
132.15,10032,0
132.17,10036,0
132.19,10035,0
132.21,10032,0
132.23,10035,0
132.25,10035,0
132.27,10040,0
132.29,10039,0
132.31,10035,0
132.33,10036,0
132.35,10040,0
132.37,10038,0
132.39,10040,0
132.41,10040,0
132.43,10040,0
132.45,10046,0
132.47,10047,0
132.49,10048,0
132.51,10049,0
132.53,10052,0
132.55,10054,0
132.57,10048,0
132.59,10049,0
132.60,10052,0
132.62,10059,0
132.64,10054,0
132.66,10057,0
132.68,10053,0
132.70,10056,0
132.72,10051,0
132.74,10052,0
132.76,10050,0
132.78,10047,0
132.80,10045,0
132.82,10043,0
132.84,10042,0
132.86,10037,0
132.88,10031,0
132.90,10022,0
132.92,10018,0
132.94,10010,0
132.96,9999,0
132.98,9995,0
