1,0
15.70,10092,0
15.72,10104,0
15.74,10096,0
15.76,10079,0
15.78,10071,0
15.80,10098,0
15.82,10102,0
15.84,10106,0
15.86,10091,0
15.88,10078,0
15.90,10093,0
15.92,10110,0
15.94,10118,0
15.96,10098,0
15.98,10082,0
16.00,10076,0
16.02,10088,0
16.04,10101,0
16.05,10095,0
16.07,10095,0
16.09,10097,0
16.11,10085,0
16.13,10108,0
16.15,10120,0
16.17,10100,0
16.19,10087,0
16.21,10090,0
16.23,10092,0
16.25,10117,0
16.27,10101,0
16.29,10082,0
16.31,10094,0
16.33,10101,0
16.35,10106,0
16.37,10102,0
16.39,10081,0
16.41,10072,0
16.43,10085,0
16.45,10095,0
16.47,10103,0
16.49,10085,0
16.51,10071,0
16.53,10083,0
16.55,10102,0
16.57,10115,0
16.59,10087,0
16.61,10076,0
16.63,10089,0
16.65,10106,0
16.67,10127,0
16.69,10108,0
16.71,10089,0
16.73,10074,0
16.75,10091,0
16.77,10100,0
16.79,10100,0
16.81,10084,0
16.83,10073,0
16.85,10078,0
16.87,10097,0
16.89,10107,0
16.91,10095,0
16.93,10084,0
16.95,10077,0
16.97,10089,0
16.99,10109,0
17.01,10109,0
17.03,10090,0
17.04,10069,0
17.06,10088,0
17.08,10105,0
17.10,10100,0
17.12,10086,0
17.14,10071,0
17.16,10085,0
17.18,10107,0
17.20,10115,0
17.22,10105,0
17.24,10098,0
17.26,10085,0
17.28,10088,0
17.30,10106,0
17.32,10095,0
17.34,10086,0
17.36,10077,0
17.38,10100,0
17.40,10104,0
17.42,10102,0
17.44,10087,0
17.46,10086,0
17.48,10094,0
17.50,10106,0
17.52,10113,0
17.54,10089,0
17.56,10080,0
17.58,10086,0
17.60,10110,0
17.62,10114,0
17.64,10096,0
17.66,10079,0
17.68,10084,0
17.70,10073,0
17.72,10120,0
17.74,10113,0
17.76,10102,0
17.78,10083,0
17.80,10070,0
17.82,10100,0
17.84,10087,0
17.86,10099,0
17.88,10086,0
17.90,10084,0
17.92,10094,0
17.94,10116,0
17.96,10108,0
17.98,10085,0
18.00,10078,0
18.02,10090,0
18.04,10105,0
18.05,10105,0
18.07,10093,0
18.09,10081,0
18.11,10087,0
18.13,10089,0
18.15,10104,0
18.17,10085,0
18.19,10067,0
18.21,10080,0
18.23,10103,0
18.25,10121,0
18.27,10111,0
18.29,10080,0
18.31,10070,0
18.33,10087,0
18.35,10116,0
18.37,10109,0
18.39,10094,0
18.41,10072,0
18.43,10080,0
18.45,10093,0
18.47,10092,0
18.49,10090,0
