9,0
1076.76,15672,0
1076.78,15629,0
1076.80,15620,0
1076.82,15624,0
1076.84,15666,0
1076.86,15658,0
1076.88,15638,0
1076.90,15609,0
1076.92,15608,0
1076.94,15623,0
1076.96,15649,0
1076.98,15628,0
1077.00,15621,0
1077.02,15619,0
1077.04,15608,0
1077.06,15638,0
1077.08,15657,0
1077.10,15653,0
1077.12,15612,0
1077.14,15622,0
1077.16,15641,0
1077.18,15672,0
1077.20,15660,0
1077.22,15636,0
1077.24,15620,0
1077.26,15643,0
1077.28,15652,0
1077.30,15618,0
1077.32,15628,0
1077.34,15628,0
1077.35,15641,0
1077.37,15673,0
1077.39,15679,0
1077.41,15628,0
1077.43,15617,0
1077.45,15608,0
1077.47,15649,0
1077.49,15658,0
1077.51,15648,0
1077.53,15634,0
1077.55,15636,0
1077.57,15654,0
1077.59,15670,0
1077.61,15674,0
1077.63,15650,0
1077.65,15619,0
1077.67,15651,0
1077.69,15689,0
1077.71,15696,0
1077.73,15681,0
1077.75,15650,0
1077.77,15668,0
1077.79,15686,0
1077.81,15710,0
1077.83,15683,0
1077.85,15633,0
1077.87,15662,0
1077.89,15675,0
1077.91,15695,0
1077.93,15688,0
1077.95,15663,0
1077.97,15655,0
1077.99,15664,0
1078.01,15685,0
1078.03,15665,0
1078.05,15640,0
1078.07,15607,0
1078.09,15634,0
1078.11,15683,0
1078.13,15637,0
1078.15,15635,0
1078.17,15619,0
1078.19,15614,0
1078.21,15637,0
1078.23,15682,0
1078.25,15628,0
1078.27,15610,0
1078.29,15618,0
1078.31,15620,0
1078.33,15683,0
1078.35,15638,0
1078.37,15650,0
1078.38,15615,0
1078.40,15624,0
1078.42,15672,0
1078.44,15700,0
1078.46,15666,0
1078.48,15650,0
1078.50,15613,0
1078.52,15659,0
1078.54,15666,0
1078.56,15667,0
1078.58,15634,0
1078.60,15645,0
1078.62,15658,0
1078.64,15692,0
1078.66,15673,0
1078.68,15659,0
1078.70,15623,0
1078.72,15630,0
1078.74,15625,0
1078.76,15660,0
1078.78,15640,0
1078.80,15636,0
1078.82,15646,0
1078.84,15683,0
1078.86,15674,0
1078.88,15695,0
1078.90,15650,0
1078.92,15619,0
1078.94,15626,0
1078.96,15671,0
1078.98,15664,0
1079.00,15654,0
1079.02,15614,0
1079.04,15632,0
1079.06,15641,0
1079.08,15656,0
1079.10,15678,0
1079.12,15642,0
1079.14,15654,0
1079.16,15695,0
1079.18,15673,0
1079.20,15692,0
1079.22,15644,0
1079.24,15613,0
1079.26,15623,0
