,16383,0
856.55,16383,0
856.57,16383,0
856.59,16383,0
856.61,16383,0
856.63,16383,0
856.65,16383,0
856.67,16383,0
856.69,16383,0
856.71,16383,0
856.73,16383,0
856.75,16383,0
856.77,16383,0
856.79,16383,0
856.81,16383,0
856.83,16383,0
856.85,16383,0
856.87,16383,0
856.89,16383,0
856.91,16383,0
856.93,16383,0
856.95,16383,0
856.97,16383,0
856.99,16383,0
857.01,16383,0
857.03,16383,0
857.05,16383,0
857.07,16383,0
857.09,16383,0
857.11,16383,0
857.13,16383,0
857.15,16383,0
857.17,16383,0
857.19,16383,0
857.21,16383,0
857.23,16383,0
857.25,16383,0
857.27,16383,0
857.29,16383,0
857.31,16383,0
857.33,16383,0
857.35,16383,0
857.37,16383,0
857.38,16383,0
857.40,16383,0
857.42,16383,0
857.44,16383,0
857.46,16383,0
857.48,16383,0
857.50,16383,0
857.52,16383,0
857.54,16383,0
857.56,16383,0
857.58,16383,0
857.60,16383,0
857.62,16383,0
857.64,16383,0
857.66,16383,0
857.68,16383,0
857.70,16383,0
857.72,16383,0
857.74,16383,0
857.76,16383,0
857.78,16383,0
857.80,16383,0
857.82,16383,0
857.84,16383,0
857.86,16383,0
857.88,16383,0
857.90,16383,0
857.92,16383,0
857.94,16383,0
857.96,16383,0
857.98,16383,0
858.00,16383,0
858.02,16383,0
858.04,16383,0
858.06,16383,0
858.08,16383,0
858.10,16383,0
858.12,16383,0
858.14,16383,0
858.16,16383,0
858.18,16383,0
858.20,16383,0
858.22,16383,0
858.24,16383,0
858.26,16383,0
858.28,16383,0
858.30,16383,0
858.32,16383,0
858.34,16383,0
858.36,16383,0
858.38,16383,0
858.40,16383,0
858.41,16383,0
858.43,16383,0
858.45,16383,0
858.47,16383,0
858.49,16383,0
858.51,16383,0
858.53,16383,0
858.55,16383,0
858.57,16383,0
858.59,16383,0
858.61,16383,0
858.63,16383,0
858.65,16383,0
858.67,16383,0
858.69,16383,0
858.71,16383,0
858.73,16383,0
858.75,16383,0
858.77,16383,0
858.79,16383,0
858.81,16383,0
858.83,16383,0
858.85,16383,0
858.87,16383,0
858.89,16383,0
858.91,16383,0
858.93,16383,0
858.95,16383,0
858.97,16383,0
858.99,16383,0
859.01,16383,0
859.03,16383,0
859.05,16383,0
859.07,16383,0
859.09,16383,0
859.11,16383,0
859.13,16383,0
859.15,16383,0
859.17,16383,0
859.19,16383,0
859.21,16383,0
859.23,16383,0
859.25,16383,0
859.27,16383,0
859.29,16383,0
859.31,16383,0
859.33,16383,0
859.35,16383,0
859.37,16383,0
859.39,16383,0
859.41,16383,0
859.43,16383,0
859.44,16383,0
859.46,16383,0
859.48,16383,0
859.50,16383,0
859.52,16383,0
859.54,16383,0
859.56,16383,0
859.58,16383,0
859.60,16383,0
859.62,16383,0
859.64,16383,0
859.66,16383,0
859.68,16383,0
859.70,16383,0
859.72,16383,0
859.74,16383,0
859.76,16383,0
859.78,16383,0
859.80,16383,0
859.82,16383,0
859.84,16383,0
859.86,16383,0
859.88,16383,0
859.90,16383,0
859.92,16383,0
859.94,16383,0
859.96,16383,0
859.98,16383,0
860.00,16383,0
860.02,16383,0
860.04,16383,0
860.06,16383,0
860.08,16383,0
860.10,16383,0
860.12,16383,0
860.14,16383,0
860.16,16383,0
860.18,16383,0
860.20,16383,0
860.22,16383,0
860.24,16383,0
860.26,16383,0
860.28,16383,0
860.30,16383,0
860.32,16383,0
860.34,16383,0
860.36,16383,0
860.38,16383,0
860.40,16383,0
860.42,16383,0
860.44,16383,0
860.46,16383,0
860.47,16383,0
860.49,16383,0
860.51,16383,0
860.53,16383,0
860.55,16383,0
860.57,16383,0
860.59,16383,0
860.61,16383,0
860.63,16383,0
860.65,16383,0
860.67,16383,0
860.69,16383,0
860.71,16383,0
860.73,16383,0
860.75,16383,0
860.77,16383,0
860.79,16383,0
860.81,16383,0
860.83,16383,0
860.85,16383,0
860.87,16383,0
860.89,16383,0
860.91,16383,0
860.93,16383,0
860.95,16383,0
860.97,16383,0
860.99,16383,0
861.01,16383,0
861.03,16383,0
861.05,16383,0
861.07,16383,0
861.09,16383,0
861.11,16383,0
861.13,16383,0
861.15,16383,0
861.17,16383,0
861.19,16383,0
861.21,16383,0
861.23,16383,0
861.25,16383,0
861.27,16383,0
861.29,16383,0
861.31,16383,0
861.33,16383,0
861.35,16383,0
861.37,16383,0
861.39,16383,0
861.41,16014,0
861.43,15421,0
861.45,14965,0
861.47,14621,0
861.49,14432,0
861.50,14317,0
861.52,14259,0
861.54,14154,0
861.56,14088,0
861.58,13872,0
861.60,13619,0
861.62,13379,0
861.64,13040,0
861.66,12712,0
861.68,12284,0
861.70,11789,0
861.72,11244,0
861.74,10780,0
861.76,10448,0
861.78,10102,0
861.80,9756,0
861.82,9505,0
861.84,9268,0
861.86,9106,0
861.88,9000,0
861.90,8969,0
861.92,8954,0
861.94,8849,0
861.96,8794,0
861.98,8800,0
862.00,8858,0
862.02,8987,0
862.04,9060,0
862.06,8955,0
862.08,9058,0
862.10,9190,0
862.12,9198,0
862.14,9224,0
862.16,8744,0
862.18,8626,0
862.20,8689,0
862.22,8674,0
862.24,8649,0
862.26,8652,0
862.28,8665,0
862.30,8690,0
862.32,8697,0
862.34,8687,0
862.36,8667,0
862.38,8632,0
862.40,8667,0
862.42,8708,0
862.44,8749,0
862.46,8840,0
862.48,8892,0
862.50,8986,0
862.52,9086,0
862.53,9181,0
862.55,9279,0
862.57,9254,0
862.59,9221,0
862.61,9253,0
862.63,9325,0
862.65,9336,0
862.67,9358,0
862.69,9353,0
862.71,9422,0
862.73,9523,0
862.75,9558,0
862.77,9575,0
862.79,9543,0
862.81,9547,0
862.83,9591,0
862.85,9616,0
862.87,9618,0
862.89,9592,0
862.91,9577,0
862.93,9598,0
862.95,9604,0
862.97,9634,0
862.99,9609,0
863.01,9576,0
863.03,9601,0
863.05,9629,0
863.07,9646,0
863.09,9628,0
863.11,9584,0
863.13,9597,0
863.15,9662,0
863.17,9673,0
863.19,9627,0
863.21,9619,0
863.23,9616,0
863.25,9674,0
863.27,9658,0
863.29,9655,0
863.31,9614,0
863.33,9609,0
863.35,9633,0
863.37,9699,0
863.39,9704,0
863.41,9657,0
863.43,9652,0
863.45,9677,0
863.47,9695,0
863.49,9704,0
863.51,9663,0
863.53,9657,0
863.55,9672,0
863.56,9695,0
863.58,9712,0
863.60,9697,0
863.62,9668,0
863.64,9686,0
863.66,9721,0
863.68,9696,0
863.70,9692,0
863.72,9690,0
863.74,9670,0
863.76,9671,0
863.78,9699,0
863.80,9705,0
863.82,9686,0
863.84,9680,0
863.86,9681,0
863.88,9688,0
863.90,9714,0
863.92,9697,0
863.94,9672,0
863.96,9644,0
863.98,9698,0
864.00,9707,0
864.02,9695,0
864.04,9687,0
864.06,9656,0
864.08,9633,0
864.10,9681,0
864.12,9703,0
864.14,9698,0
864.16,9641,0
864.18,9672,0
864.20,9670,0
864.22,9668,0
864.24,9675,0
864.26,9674,0
864.28,9657,0
864.30,9680,0
864.32,9692,0
864.34,9664,0
864.36,9680,0
864.38,9656,0
864.40,9676,0
864.42,9678,0
864.44,9725,0
864.46,9704,0
864.48,9650,0
864.50,9673,0
864.52,9714,0
864.54,9723,0
864.56,9708,0
864.58,9675,0
864.59,9691,0
864.61,9671,0
864.63,9704,0
864.65,9734,0
864.67,9726,0
864.69,9691,0
864.71,9690,0
864.73,9737,0
864.75,9744,0
864.77,9725,0
864.79,9688,0
864.81,9690,0
864.83,9720,0
864.85,9751,0
864.87,9746,0
864.89,9701,0
864.91,9712,0
864.93,9762,0
864.95,9732,0
864.97,9738,0
864.99,9736,0
865.01,9705,0
865.03,9701,0
865.05,9745,0
865.07,9752,0
865.09,9692,0
865.11,9696,0
865.13,9716,0
865.15,9757,0
865.17,9747,0
865.19,9726,0
865.21,9717,0
865.23,9702,0
865.25,9721,0
865.27,9759,0
865.29,9746,0
865.31,9709,0
865.33,9716,0
865.35,9721,0
865.37,9724,0
865.39,9749,0
865.41,9740,0
865.43,9678,0
865.45,9713,0
865.47,9759,0
865.49,9741,0
865.51,9721,0
865.53,9715,0
865.55,9711,0
865.57,9721,0
865.59,9742,0
865.61,9730,0
865.62,9728,0
865.64,9684,0
865.66,9738,0
865.68,9742,0
865.70,9709,0
865.72,9710,0
865.74,9698,0
865.76,9716,0
865.78,9736,0
865.80,9735,0
865.82,9708,0
865.84,9706,0
865.86,9732,0
865.88,9750,0
865.90,9733,0
865.92,9701,0
865.94,9694,0
865.96,9714,0
865.98,9721,0
866.00,9733,0
866.02,9740,0
866.04,9709,0
866.06,9675,0
866.08,9732,0
866.10,9722,0
866.12,9744,0
866.14,9717,0
866.16,9696,0
866.18,9689,0
866.20,9748,0
866.22,9744,0
866.24,9706,0
866.26,9690,0
866.28,9690,0
866.30,9739,0
866.32,9722,0
866.34,9721,0
866.36,9728,0
866.38,9703,0
866.40,9720,0
866.42,9728,0
866.44,9702,0
866.46,9679,0
866.48,9614,0
866.50,9599,0
866.52,9498,0
866.54,9372,0
866.56,9254,0
866.58,9092,0
866.60,8966,0
866.62,8878,0
866.64,8770,0
866.65,8660,0
866.67,8597,0
866.69,8534,0
866.71,8496,0
866.73,8483,0
866.75,8443,0
866.77,8387,0
866.79,8399,0
866.81,8401,0
866.83,8408,0
866.85,8420,0
866.87,8638,0
866.89,8872,0
866.91,9001,0
866.93,9001,0
866.95,9095,0
866.97,9407,0
866.99,9495,0
867.01,9524,0
867.03,9576,0
867.05,9607,0
867.07,9615,0
867.09,9569,0
867.11,9501,0
867.13,9418,0
867.15,9252,0
867.17,9265,0
867.19,9239,0
867.21,9272,0
867.23,9339,0
867.25,9464,0
867.27,9502,0
867.29,9491,0
867.31,9500,0
867.33,9472,0
867.35,9643,0
867.37,9955,0
867.39,10275,0
867.41,10640,0
867.43,10967,0
867.45,11333,0
867.47,11735,0
867.49,12089,0
867.51,12292,0
867.53,12525,0
867.55,12813,0
867.57,13143,0
867.59,13404,0
867.61,13523,0
867.63,13463,0
867.65,13467,0
867.66,13577,0
867.68,13702,0
867.70,13858,0
867.72,13911,0
867.74,14068,0
867.76,14273,0
867.78,14393,0
867.80,14435,0
867.82,14585,0
