950,0
1669.28,11362,0
1669.30,9189,0
1669.32,11086,0
1669.34,11078,0
1669.36,9527,0
1669.38,10841,0
1669.40,9757,0
1669.42,11038,0
1669.44,9033,0
1669.46,10170,0
1669.48,9320,0
1669.50,9501,0
1669.52,11610,0
1669.54,9505,0
1669.56,11086,0
1669.58,11026,0
1669.60,9714,0
1669.62,11290,0
1669.64,9588,0
1669.66,9882,0
1669.68,10689,0
1669.70,9289,0
1669.72,11576,0
1669.74,10128,0
1669.76,9681,0
1669.78,11752,0
1669.80,9253,0
1669.82,11380,0
1669.84,9460,0
1669.86,9926,0
1669.88,11016,0
1669.90,8938,0
1669.92,10026,0
1669.94,10472,0
1669.96,8771,0
1669.98,10308,0
1670.00,11834,0
1670.02,10353,0
1670.04,9500,0
1670.06,10839,0
1670.08,10661,0
1670.10,10155,0
1670.12,10924,0
1670.14,10318,0
1670.16,11883,0
1670.18,10374,0
1670.20,9215,0
1670.22,11281,0
1670.24,9077,0
1670.25,10310,0
1670.27,11184,0
1670.29,10391,0
1670.31,9431,0
1670.33,11194,0
1670.35,9160,0
1670.37,11427,0
1670.39,9486,0
1670.41,11315,0
1670.43,9848,0
1670.45,10421,0
1670.47,8930,0
1670.49,9265,0
1670.51,10304,0
1670.53,10452,0
1670.55,8751,0
1670.57,10800,0
1670.59,11166,0
1670.61,10182,0
1670.63,10897,0
1670.65,9634,0
1670.67,10257,0
1670.69,10516,0
1670.71,9990,0
1670.73,10594,0
1670.75,9097,0
1670.77,10488,0
1670.79,9746,0
1670.81,11644,0
1670.83,8289,0
1670.85,10678,0
1670.87,10601,0
1670.89,10431,0
1670.91,11014,0
1670.93,9822,0
1670.95,10161,0
1670.97,10133,0
1670.99,10559,0
1671.01,10552,0
1671.03,10187,0
1671.05,10916,0
1671.07,8739,0
1671.09,10227,0
1671.11,11097,0
1671.13,10892,0
1671.15,9535,0
1671.17,9534,0
1671.19,9690,0
1671.21,11500,0
1671.23,8922,0
1671.25,12145,0
1671.27,9569,0
1671.29,10835,0
1671.31,10186,0
1671.33,10828,0
1671.35,10608,0
1671.36,9496,0
1671.38,12384,0
1671.40,8943,0
1671.42,10231,0
1671.44,10048,0
1671.46,9820,0
1671.48,11653,0
1671.50,9374,0
1671.52,11592,0
1671.54,7862,0
1671.56,10108,0
1671.58,9406,0
1671.60,11237,0
1671.62,9964,0
1671.64,10281,0
1671.66,9069,0
1671.68,9412,0
1671.70,11296,0
1671.72,8550,0
1671.74,11505,0
1671.76,9231,0
1671.78,9992,0
1671.80,9664,0
1671.82,10101,0
1671.84,10959,0
1671.86,9446,0
1671.88,11134,0
1671.90,10504,0
1671.92,10043,0
1671.94,10305,0
1671.96,11365,0
1671.98,8788,0
1672.00,10261,0
1672.02,10846,0
1672.04,9493,0
1672.06,10357,0
1672.08,11683,0
1672.10,10770,0
1672.12,9581,0
1672.14,9851,0
1672.16,11174,0
1672.18,10356,0
1672.20,9223,0
1672.22,10771,0
1672.24,11302,0
1672.26,8452,0
1672.28,11126,0
1672.30,10694,0
1672.32,11152,0
1672.34,11374,0
1672.36,8582,0
1672.38,11349,0
1672.40,9599,0
1672.42,9973,0
1672.44,10866,0
