11090,0
293.91,11043,0
293.93,11014,0
293.95,11051,0
293.97,11003,0
293.99,11000,0
294.01,11006,0
294.03,11067,0
294.04,11079,0
294.06,11028,0
294.08,11017,0
294.10,10985,0
294.12,10971,0
294.14,11028,0
294.16,11025,0
294.18,11007,0
294.20,10944,0
294.22,10946,0
294.24,11057,0
294.26,11033,0
294.28,11029,0
294.30,10981,0
294.32,10992,0
294.34,11074,0
294.36,11024,0
294.38,11003,0
294.40,11008,0
294.42,11015,0
294.44,11075,0
294.46,10991,0
294.48,10960,0
294.50,10997,0
294.52,11060,0
294.54,11065,0
294.56,11043,0
294.58,11021,0
294.60,11016,0
294.62,10981,0
294.64,11050,0
294.66,10983,0
294.68,11008,0
294.70,11057,0
294.72,11006,0
294.74,10984,0
294.76,10982,0
294.78,11014,0
294.80,11006,0
294.82,11001,0
294.84,10996,0
294.86,10968,0
294.88,10970,0
294.90,10973,0
294.92,11010,0
294.94,11077,0
294.96,11070,0
294.98,11021,0
295.00,11012,0
295.02,11046,0
295.04,10982,0
295.06,11000,0
295.08,10972,0
295.09,10969,0
295.11,10974,0
295.13,11057,0
295.15,11047,0
295.17,11045,0
295.19,11040,0
295.21,11058,0
295.23,11060,0
295.25,11102,0
295.27,11046,0
295.29,11054,0
295.31,11011,0
295.33,10984,0
295.35,10965,0
295.37,11008,0
295.39,11001,0
295.41,11028,0
295.43,11017,0
295.45,11025,0
295.47,11043,0
295.49,11067,0
295.51,10992,0
295.53,11031,0
295.55,10951,0
295.57,11028,0
295.59,11024,0
295.61,11012,0
295.63,11018,0
295.65,11007,0
295.67,11074,0
295.69,11111,0
295.71,11038,0
295.73,11049,0
295.75,11054,0
295.77,10938,0
295.79,10970,0
295.81,11026,0
295.83,11024,0
295.85,11072,0
295.87,11049,0
295.89,11068,0
295.91,11109,0
295.93,11046,0
295.95,10984,0
295.97,11065,0
295.99,10938,0
296.01,10991,0
296.03,10976,0
296.05,10992,0
296.07,10992,0
296.09,11136,0
296.11,11090,0
296.12,11026,0
296.14,10979,0
296.16,11030,0
296.18,11013,0
296.20,10962,0
296.22,10996,0
296.24,10997,0
296.26,11020,0
296.28,11030,0
296.30,11079,0
296.32,11083,0
296.34,11053,0
296.36,10977,0
296.38,11029,0
296.40,11088,0
296.42,10967,0
296.44,11022,0
296.46,11048,0
296.48,11031,0
296.50,11044,0
296.52,11034,0
296.54,11080,0
296.56,11093,0
296.58,11022,0
296.60,11050,0
296.62,11107,0
296.64,11047,0
296.66,11026,0
296.68,11043,0
296.70,10983,0
296.72,11004,0
296.74,11043,0
296.76,11101,0
296.78,11004,0
296.80,10985,0
296.82,11005,0
296.84,10982,0
296.86,11082,0
296.88,11065,0
296.90,10962,0
296.92,10997,0
296.94,11064,0
296.96,11035,0
296.98,11040,0
297.00,10942,0
297.02,10986,0
297.04,11007,0
297.06,11028,0
297.08,11080,0
297.10,11069,0
297.12,10996,0
297.14,10984,0
297.16,11025,0
297.17,11072,0
297.19,11034,0
297.21,11006,0
297.23,10994,0
297.25,10974,0
297.27,10964,0
297.29,11032,0
297.31,10972,0
297.33,11064,0
297.35,11089,0
297.37,11031,0
297.39,10978,0
297.41,10941,0
297.43,11005,0
297.45,11030,0
297.47,11057,0
297.49,11023,0
297.51,10984,0
297.53,10933,0
297.55,11042,0
297.57,11048,0
297.59,11091,0
297.61,11013,0
297.63,10992,0
297.65,10973,0
297.67,10953,0
297.69,11078,0
297.71,11026,0
297.73,11053,0
297.75,11019,0
297.77,10953,0
297.79,11012,0
297.81,11067,0
297.83,11001,0
297.85,10967,0
297.87,10926,0
297.89,11012,0
297.91,11048,0
297.93,11030,0
297.95,11022,0
297.97,11005,0
297.99,11009,0
298.01,10976,0
298.03,11006,0
298.05,11030,0
298.07,11038,0
298.09,11066,0
298.11,11033,0
298.13,10965,0
298.15,10986,0
298.17,11025,0
298.19,10991,0
298.21,11058,0
298.22,11031,0
298.24,10979,0
298.26,10951,0
298.28,10967,0
298.30,10984,0
298.32,11004,0
298.34,11046,0
298.36,11056,0
298.38,11005,0
298.40,10978,0
298.42,11044,0
298.44,11048,0
298.46,10925,0
298.48,10976,0
298.50,11098,0
298.52,11066,0
298.54,10990,0
298.56,10970,0
298.58,10996,0
298.60,11081,0
298.62,11050,0
298.64,11053,0
298.66,10989,0
298.68,10924,0
298.70,11024,0
298.72,11024,0
298.74,11050,0
298.76,11007,0
298.78,10933,0
298.80,10956,0
298.82,10967,0
298.84,10924,0
298.86,11042,0
298.88,11089,0
298.90,10998,0
298.92,10992,0
298.94,10957,0
298.96,11014,0
298.98,11059,0
299.00,10997,0
299.02,10986,0
299.04,10908,0
299.06,10963,0
299.08,11027,0
299.10,11038,0
299.12,11078,0
299.14,10975,0
299.16,11020,0
299.18,11009,0
299.20,10985,0
299.22,11110,0
299.24,11040,0
299.25,11012,0
299.27,10974,0
299.29,11035,0
299.31,11066,0
299.33,10982,0
299.35,10990,0
299.37,10977,0
299.39,10990,0
299.41,11097,0
299.43,10978,0
299.45,11008,0
299.47,11002,0
299.49,11017,0
299.51,10982,0
299.53,10925,0
299.55,10985,0
299.57,11023,0
299.59,11031,0
299.61,11008,0
299.63,10927,0
299.65,11041,0
299.67,11087,0
299.69,11012,0
299.71,10980,0
299.73,11024,0
299.75,11068,0
299.77,11060,0
299.79,10993,0
299.81,10994,0
299.83,11046,0
299.85,11093,0
299.87,11066,0
299.89,11021,0
299.91,10986,0
299.93,10969,0
299.95,11002,0
299.97,11006,0
299.99,10922,0
300.01,11027,0
300.03,10952,0
300.05,11010,0
300.07,11038,0
300.09,11033,0
300.11,11062,0
300.13,10940,0
300.15,10963,0
300.17,10993,0
300.19,11011,0
300.21,11063,0
300.23,11021,0
300.25,10928,0
300.27,10941,0
300.29,11050,0
300.30,11048,0
300.32,10980,0
300.34,10991,0
300.36,11022,0
300.38,11045,0
300.40,11025,0
300.42,10980,0
300.44,10982,0
300.46,11053,0
300.48,11035,0
300.50,11073,0
300.52,11051,0
300.54,11049,0
300.56,10939,0
300.58,10901,0
300.60,10997,0
300.62,11025,0
300.64,11048,0
300.66,11020,0
300.68,10953,0
300.70,10982,0
300.72,11005,0
300.74,10961,0
300.76,11079,0
300.78,10998,0
300.80,10953,0
300.82,10979,0
300.84,11016,0
300.86,11080,0
300.88,10905,0
300.90,10954,0
